municipio,año,mes,hombres,mujeres,total
1,2019,1,0,3,3
1,2019,2,1,1,2
1,2019,3,1,2,3
1,2019,5,1,0,1
1,2019,7,1,0,1
1,2019,8,1,1,2
1,2019,9,0,1,1
1,2019,10,1,2,3
1,2019,12,1,1,2
2,2019,1,54,62,116
2,2019,2,38,38,76
2,2019,3,47,42,89
2,2019,4,49,50,99
2,2019,5,45,47,92
2,2019,6,42,46,88
2,2019,7,38,55,93
2,2019,8,58,57,115
2,2019,9,62,56,118
2,2019,10,54,63,117
2,2019,11,62,52,114
2,2019,12,53,45,98
3,2019,1,11,14,25
3,2019,2,12,8,20
3,2019,3,20,7,27
3,2019,4,10,15,25
3,2019,5,8,12,20
3,2019,6,8,11,19
3,2019,7,9,16,25
3,2019,8,7,14,21
3,2019,9,13,10,23
3,2019,10,10,15,25
3,2019,11,10,18,28
3,2019,12,17,15,32
4,2019,1,5,4,9
4,2019,2,3,9,12
4,2019,3,2,6,8
4,2019,4,5,4,9
4,2019,5,4,13,17
4,2019,6,4,5,9
4,2019,7,11,8,19
4,2019,8,4,5,9
4,2019,9,10,6,16
4,2019,10,6,8,14
4,2019,11,9,4,13
4,2019,12,4,3,7
5,2019,2,0,1,1
5,2019,4,1,0,1
5,2019,6,1,0,1
5,2019,7,1,2,3
5,2019,8,2,1,3
5,2019,9,1,1,2
5,2019,11,1,0,1
5,2019,12,1,1,2
6,2019,1,1,1,2
6,2019,2,1,1,2
6,2019,3,2,2,4
6,2019,4,1,0,1
6,2019,5,1,2,3
6,2019,6,1,2,3
6,2019,7,1,1,2
6,2019,8,0,2,2
6,2019,9,2,3,5
6,2019,10,1,1,2
6,2019,11,2,1,3
6,2019,12,2,0,2
8,2019,7,1,0,1
8,2019,10,1,0,1
9,2019,1,1,0,1
9,2019,7,0,1,1
9,2019,9,1,0,1
9,2019,11,0,1,1
10,2019,1,2,2,4
10,2019,4,1,0,1
10,2019,6,0,1,1
10,2019,7,1,0,1
10,2019,8,1,1,2
10,2019,9,0,4,4
10,2019,10,1,0,1
10,2019,11,2,0,2
10,2019,12,1,0,1
11,2019,2,1,1,2
11,2019,3,0,1,1
11,2019,4,0,1,1
11,2019,5,1,0,1
11,2019,7,0,1,1
11,2019,8,1,0,1
11,2019,9,1,1,2
11,2019,10,1,1,2
11,2019,11,2,2,4
12,2019,1,9,13,22
12,2019,2,5,12,17
12,2019,3,16,7,23
12,2019,4,10,11,21
12,2019,5,9,8,17
12,2019,6,7,8,15
12,2019,7,19,16,35
12,2019,8,18,10,28
12,2019,9,15,15,30
12,2019,10,13,23,36
12,2019,11,10,11,21
12,2019,12,13,6,19
13,2019,1,1,2,3
13,2019,2,0,1,1
13,2019,3,1,1,2
13,2019,4,0,1,1
