municipio,año,mes,hombres,mujeres,total
1,2021,2,3,0,3
1,2021,3,1,2,3
1,2021,4,0,1,1
1,2021,5,2,2,4
1,2021,6,0,1,1
1,2021,7,4,2,6
1,2021,8,1,3,4
1,2021,9,3,1,4
1,2021,10,3,1,4
1,2021,12,1,2,3
2,2021,1,44,43,87
2,2021,2,29,26,55
2,2021,3,39,26,65
2,2021,4,39,27,66
2,2021,5,37,24,61
2,2021,6,37,37,74
2,2021,7,31,30,61
2,2021,8,40,37,77
2,2021,9,48,37,85
2,2021,10,32,26,58
2,2021,11,34,27,61
2,2021,12,37,36,73
3,2021,1,25,11,36
3,2021,2,12,12,24
3,2021,3,12,10,22
3,2021,4,5,5,10
3,2021,5,7,7,14
3,2021,6,8,10,18
3,2021,7,8,14,22
3,2021,8,16,11,27
3,2021,9,14,8,22
3,2021,10,17,8,25
3,2021,11,15,16,31
3,2021,12,14,12,26
4,2021,1,4,5,9
4,2021,2,8,4,12
4,2021,3,7,10,17
4,2021,4,5,2,7
4,2021,5,4,5,9
4,2021,6,6,2,8
4,2021,7,1,6,7
4,2021,8,6,5,11
4,2021,9,12,6,18
4,2021,10,8,9,17
4,2021,11,5,5,10
4,2021,12,8,8,16
5,2021,1,2,4,6
5,2021,2,1,2,3
5,2021,3,0,2,2
5,2021,4,2,1,3
5,2021,5,3,2,5
5,2021,6,0,1,1
5,2021,7,2,1,3
5,2021,8,1,2,3
5,2021,9,1,1,2
5,2021,10,1,0,1
5,2021,11,1,1,2
6,2021,2,1,0,1
6,2021,3,1,0,1
6,2021,4,0,1,1
6,2021,5,1,2,3
6,2021,6,0,1,1
6,2021,8,0,1,1
6,2021,9,2,0,2
6,2021,11,1,0,1
6,2021,12,1,1,2
8,2021,1,1,0,1
8,2021,5,1,0,1
8,2021,7,2,0,2
8,2021,9,1,0,1
8,2021,10,2,1,3
9,2021,3,1,0,1
9,2021,4,2,0,2
9,2021,11,1,0,1
10,2021,1,1,0,1
10,2021,2,1,2,3
10,2021,3,0,1,1
10,2021,4,0,2,2
10,2021,5,1,2,3
10,2021,6,1,0,1
10,2021,7,2,0,2
10,2021,8,0,1,1
10,2021,9,0,1,1
10,2021,10,0,1,1
10,2021,12,1,0,1
11,2021,1,3,2,5
11,2021,3,0,1,1
11,2021,5,2,0,2
11,2021,6,2,0,2
11,2021,7,1,0,1
11,2021,9,1,2,3
11,2021,10,1,0,1
11,2021,11,0,1,1
12,2021,1,12,19,31
12,2021,2,5,16,21
12,2021,3,14,9,23
12,2021,4,12,7,19
12,2021,5,8,12,20
12,2021,6,15,10,25
12,2021,7,7,10,17
12,2021,8,24,21,45
12,2021,9,16,16,32
12,2021,10,10,14,24
12,2021,11,12,15,27
12,2021,12,14,9,23
13,2021,1,0,1,1
13,2021,2,1,2,3
13,2021,3,2,2,4
