municipio,año,mes,hombres,mujeres,total
1,2016,1,0,1,1
1,2016,2,2,0,2
1,2016,3,0,2,2
1,2016,4,1,1,2
1,2016,5,1,1,2
1,2016,6,3,0,3
1,2016,7,2,1,3
1,2016,8,1,4,5
1,2016,9,3,0,3
1,2016,10,0,1,1
1,2016,11,1,2,3
1,2016,12,1,0,1
2,2016,1,58,51,109
2,2016,2,60,51,111
2,2016,3,56,60,116
2,2016,4,46,55,101
2,2016,5,38,42,80
2,2016,6,49,53,102
2,2016,7,66,48,114
2,2016,8,52,66,118
2,2016,9,70,64,134
2,2016,10,56,60,116
2,2016,11,44,53,97
2,2016,12,69,59,128
3,2016,1,15,12,27
3,2016,2,23,15,38
3,2016,3,14,15,29
3,2016,4,8,16,24
3,2016,5,14,15,29
3,2016,6,15,13,28
3,2016,7,14,16,30
3,2016,8,14,16,30
3,2016,9,18,17,35
3,2016,10,13,14,27
3,2016,11,11,13,24
3,2016,12,19,12,31
4,2016,1,8,1,9
4,2016,2,3,7,10
4,2016,3,2,4,6
4,2016,4,4,5,9
4,2016,5,9,7,16
4,2016,6,8,6,14
4,2016,7,6,8,14
4,2016,8,10,8,18
4,2016,9,13,8,21
4,2016,10,7,10,17
4,2016,11,11,10,21
4,2016,12,9,12,21
5,2016,2,1,1,2
5,2016,3,1,0,1
5,2016,4,0,2,2
5,2016,5,1,0,1
5,2016,6,1,2,3
5,2016,7,1,3,4
5,2016,8,1,2,3
5,2016,9,1,1,2
5,2016,11,1,0,1
5,2016,12,0,1,1
6,2016,1,0,1,1
6,2016,2,1,1,2
6,2016,3,0,1,1
6,2016,4,1,2,3
6,2016,5,2,1,3
6,2016,6,0,3,3
6,2016,7,0,2,2
6,2016,8,1,2,3
6,2016,9,2,0,2
6,2016,10,2,4,6
6,2016,11,3,0,3
6,2016,12,3,1,4
7,2016,3,0,1,1
7,2016,4,0,1,1
7,2016,5,1,1,2
7,2016,7,0,1,1
7,2016,9,0,3,3
7,2016,10,0,2,2
7,2016,11,1,0,1
7,2016,12,1,0,1
8,2016,1,1,0,1
8,2016,3,1,0,1
8,2016,5,0,2,2
8,2016,8,1,0,1
8,2016,9,2,0,2
8,2016,10,0,1,1
8,2016,11,1,0,1
9,2016,1,0,2,2
9,2016,2,0,1,1
9,2016,4,1,0,1
9,2016,6,1,0,1
9,2016,8,0,2,2
9,2016,12,1,2,3
10,2016,1,2,0,2
10,2016,2,1,1,2
10,2016,8,0,1,1
11,2016,1,1,0,1
11,2016,2,1,0,1
11,2016,5,1,2,3
11,2016,6,2,0,2
11,2016,7,1,2,3
11,2016,8,1,0,1
11,2016,9,0,1,1
11,2016,10,1,1,2
11,2016,11,0,1,1
12,2016,1,8,21,29
12,2016,2,11,11,22
12,2016,3,12,8,20
12,2016,4,13,10,23
12,2016,5,4,3,7
12,2016,6,4,7,11
12,2016,7,13,11,24
12,2016,8,11,14,25
12,2016,9,12,31,43
12,2016,10,12,14,26
12,2016,11,10,12,22
12,2016,12,16,8,24
13,2016,1,1,1,2
13,2016,2,3,0,3
13,2016,3,0,2,2
13,2016,4,0,2,2
13,2016,5,1,0,1
13,2016,6,0,1,1
13,2016,7,2,1,3
13,2016,8,1,1,2
13,2016,9,2,0,2
13,2016,10,1,1,2
13,2016,12,1,4,5
14,2016,1,1,1,2
14,2016,2,6,1,7
14,2016,3,4,1,5
14,2016,4,1,2,3
14,2016,5,3,0,3
14,2016,7,7,0,7
14,2016,8,2,3,5
14,2016,9,2,3,5
14,2016,10,2,1,3
14,2016,11,0,3,3
14,2016,12,2,1,3
15,2016,2,1,1,2
15,2016,3,1,0,1
15,2016,5,1,1,2
15,2016,7,2,1,3
15,2016,8,3,1,4
15,2016,9,1,0,1
15,2016,10,1,0,1
15,2016,11,0,1,1
15,2016,12,0,1,1
16,2016,1,5,9,14
16,2016,2,2,3,5
16,2016,3,4,2,6
16,2016,4,2,3,5
16,2016,5,0,3,3
16,2016,6,1,4,5
16,2016,7,3,3,6
16,2016,8,2,5,7
16,2016,9,3,1,4
16,2016,10,2,5,7
16,2016,11,6,4,10
16,2016,12,8,3,11
17,2016,1,58,65,123
17,2016,2,57,52,109
17,2016,3,56,51,107
17,2016,4,56,38,94
17,2016,5,63,52,115
17,2016,6,66,62,128
17,2016,7,48,57,105
17,2016,8,68,64,132
17,2016,9,91,69,160
17,2016,10,54,65,119
17,2016,11,51,71,122
