municipio,año,mes,hombres,mujeres,total
1,2018,1,1,2,3
1,2018,5,1,0,1
1,2018,7,1,2,3
1,2018,8,2,0,2
1,2018,9,1,3,4
1,2018,10,2,1,3
1,2018,11,3,0,3
1,2018,12,3,1,4
2,2018,1,56,66,122
2,2018,2,58,53,111
2,2018,3,44,47,91
2,2018,4,51,48,99
2,2018,5,64,49,113
2,2018,6,47,59,106
2,2018,7,66,44,110
2,2018,8,70,59,129
2,2018,9,59,59,118
2,2018,10,53,53,106
2,2018,11,59,53,112
2,2018,12,64,52,116
3,2018,1,8,17,25
3,2018,2,8,18,26
3,2018,3,12,8,20
3,2018,4,9,13,22
3,2018,5,8,9,17
3,2018,6,10,10,20
3,2018,7,9,14,23
3,2018,8,15,17,32
3,2018,9,11,16,27
3,2018,10,12,13,25
3,2018,11,9,19,28
3,2018,12,14,18,32
4,2018,1,6,4,10
4,2018,2,1,8,9
4,2018,3,5,4,9
4,2018,4,8,5,13
4,2018,5,9,8,17
4,2018,6,3,2,5
4,2018,7,5,5,10
4,2018,8,8,10,18
4,2018,9,6,8,14
4,2018,10,12,13,25
4,2018,11,5,10,15
4,2018,12,11,10,21
5,2018,1,2,0,2
5,2018,2,0,1,1
5,2018,3,0,1,1
5,2018,4,0,1,1
5,2018,6,1,1,2
5,2018,11,2,0,2
6,2018,1,2,2,4
6,2018,2,0,1,1
6,2018,3,1,1,2
6,2018,5,1,1,2
6,2018,6,1,2,3
6,2018,8,1,0,1
6,2018,9,1,0,1
6,2018,10,1,0,1
6,2018,11,0,2,2
6,2018,12,0,2,2
10,2018,4,0,1,1
10,2018,5,2,0,2
10,2018,6,0,1,1
10,2018,7,0,1,1
10,2018,8,1,2,3
10,2018,9,1,2,3
10,2018,10,0,1,1
11,2018,1,1,1,2
11,2018,2,1,0,1
11,2018,3,1,0,1
11,2018,4,0,2,2
11,2018,6,2,2,4
11,2018,7,1,3,4
11,2018,8,0,2,2
11,2018,9,0,1,1
12,2018,1,17,9,26
12,2018,2,12,9,21
12,2018,3,7,12,19
12,2018,4,16,8,24
12,2018,5,10,15,25
12,2018,6,7,16,23
12,2018,7,6,12,18
12,2018,8,9,16,25
12,2018,9,17,16,33
12,2018,10,20,20,40
12,2018,11,16,7,23
12,2018,12,16,26,42
13,2018,1,0,2,2
13,2018,2,2,0,2
13,2018,3,3,1,4
13,2018,5,1,0,1
13,2018,6,1,3,4
13,2018,7,1,0,1
13,2018,8,0,1,1
13,2018,9,0,3,3
13,2018,10,2,1,3
13,2018,11,1,1,2
13,2018,12,1,1,2
14,2018,1,1,1,2
14,2018,2,2,0,2
14,2018,3,1,1,2
14,2018,4,1,3,4
14,2018,5,0,1,1
14,2018,6,0,1,1
14,2018,7,1,1,2
14,2018,8,4,4,8
14,2018,9,1,2,3
14,2018,10,2,3,5
14,2018,11,1,0,1
14,2018,12,1,1,2
15,2018,1,1,0,1
15,2018,2,0,1,1
15,2018,3,0,1,1
15,2018,6,0,1,1
15,2018,7,1,0,1
15,2018,8,0,1,1
15,2018,10,1,0,1
15,2018,11,0,1,1
16,2018,1,5,3,8
16,2018,2,9,4,13
16,2018,3,4,3,7
16,2018,4,1,3,4
16,2018,5,3,2,5
16,2018,6,6,2,8
16,2018,7,3,4,7
16,2018,8,3,2,5
16,2018,9,1,7,8
16,2018,10,1,4,5
16,2018,11,2,3,5
16,2018,12,3,3,6
17,2018,1,42,47,89
17,2018,2,49,48,97
17,2018,3,57,51,108
17,2018,4,50,37,87
17,2018,5,55,42,97
17,2018,6,40,42,82
17,2018,7,54,38,92
17,2018,8,55,58,113
17,2018,9,69,53,122
17,2018,10,62,62,124
17,2018,11,66,37,103
17,2018,12,59,52,111
18,2018,1,278,296,574
18,2018,2,276,246,522
18,2018,3,239,240,479
18,2018,4,248,227,475
18,2018,5,192,209,401
18,2018,6,215,229,444
18,2018,7,247,237,484
18,2018,8,315,289,604
18,2018,9,311,291,602
18,2018,10,320,260,580
18,2018,11,247,259,506
18,2018,12,280,257,537
19,2018,1,37,23,60
19,2018,2,30,30,60
19,2018,3,21,28,49
19,2018,4,25,17,42
19,2018,5,25,24,49
19,2018,6,24,31,55
19,2018,7,38,30,68
19,2018,8,33,26,59
19,2018,9,26,28,54
19,2018,10,23,38,61
19,2018,11,25,30,55
19,2018,12,24,25,49
20,2018,1,7,4,11
20,2018,2,3,3,6
20,2018,3,1,3,4
20,2018,4,3,5,8
20,2018,5,1,1,2
20,2018,6,6,0,6
20,2018,7,5,2,7
20,2018,8,2,3,5
20,2018,9,2,2,4
20,2018,10,4,4,8
20,2018,11,7,7,14
20,2018,12,2,2,4
21,2018,4,0,1,1
21,2018,5,1,2,3
21,2018,6,1,0,1
21,2018,7,0,2,2
21,2018,10,1,1,2
21,2018,11,0,5,5
21,2018,12,2,1,3
22,2018,8,1,1,2
22,2018,11,1,0,1
23,2018,1,3,2,5
23,2018,2,2,0,2
23,2018,3,3,0,3
23,2018,4,1,0,1
23,2018,5,2,1,3
23,2018,6,2,0,2
23,2018,7,4,3,7
23,2018,8,1,3,4
23,2018,9,5,4,9
23,2018,10,4,4,8
23,2018,11,0,1,1
23,2018,12,3,0,3
24,2018,5,1,0,1
24,2018,6,1,1,2
24,2018,8,1,2,3
24,2018,9,0,1,1
24,2018,10,0,1,1
24,2018,12,1,0,1
25,2018,1,28,36,64
25,2018,2,32,28,60
25,2018,3,29,29,58
25,2018,4,32,28,60
25,2018,5,37,26,63
25,2018,6,25,23,48
25,2018,7,37,40,77
25,2018,8,43,25,68
25,2018,9,44,41,85
25,2018,10,49,42,91
25,2018,11,33,39,72
25,2018,12,40,34,74
26,2018,1,38,34,72
26,2018,2,36,24,60
26,2018,3,36,34,70
26,2018,4,16,24,40
26,2018,5,29,16,45
26,2018,6,24,25,49
26,2018,7,34,27,61
26,2018,8,36,45,81
26,2018,9,42,36,78
26,2018,10,29,39,68
26,2018,11,34,27,61
26,2018,12,36,45,81
27,2018,1,5,13,18
27,2018,2,9,6,15
27,2018,3,11,13,24
27,2018,4,9,7,16
27,2018,5,8,6,14
27,2018,6,11,9,20
27,2018,7,10,7,17
27,2018,8,6,9,15
27,2018,9,6,7,13
27,2018,10,10,12,22
27,2018,11,5,11,16
27,2018,12,8,5,13
28,2018,2,2,0,2
28,2018,3,0,1,1
28,2018,4,1,0,1
28,2018,5,0,1,1
28,2018,8,1,0,1
28,2018,9,0,2,2
28,2018,10,1,1,2
28,2018,11,3,1,4
29,2018,1,116,114,230
29,2018,2,102,86,188
29,2018,3,97,84,181
29,2018,4,100,87,187
29,2018,5,72,54,126
29,2018,6,86,81,167
29,2018,7,108,98,206
29,2018,8,104,121,225
29,2018,9,111,120,231
29,2018,10,118,115,233
29,2018,11,124,98,222
29,2018,12,113,111,224
30,2018,1,577,571,1148
30,2018,2,507,532,1039
30,2018,3,502,513,1015
30,2018,4,433,456,889
30,2018,5,477,465,942
30,2018,6,478,452,930
30,2018,7,546,527,1073
30,2018,8,627,610,1237
30,2018,9,667,621,1288
30,2018,10,592,510,1102
30,2018,11,541,519,1060
30,2018,12,587,506,1093
31,2018,1,0,1,1
31,2018,2,1,4,5
31,2018,4,1,2,3
31,2018,5,0,1,1
31,2018,6,0,3,3
31,2018,8,1,0,1
31,2018,9,3,1,4
31,2018,10,2,1,3
31,2018,12,0,1,1
32,2018,1,2,0,2
32,2018,4,0,1,1
32,2018,5,1,0,1
32,2018,9,0,1,1
32,2018,11,0,2,2
32,2018,12,0,1,1
33,2018,1,45,47,92
33,2018,2,54,49,103
33,2018,3,48,45,93
33,2018,4,41,37,78
33,2018,5,31,46,77
33,2018,6,47,45,92
33,2018,7,56,49,105
33,2018,8,57,52,109
33,2018,9,63,60,123
33,2018,10,60,59,119
33,2018,11,38,47,85
33,2018,12,57,46,103
34,2018,1,0,1,1
34,2018,3,2,1,3
34,2018,4,1,0,1
34,2018,5,0,2,2
34,2018,6,1,0,1
34,2018,9,1,1,2
