municipio,año,mes,hombres,mujeres,total
1,2014,1,1,1,2
1,2014,2,3,0,3
1,2014,4,3,0,3
1,2014,5,0,3,3
1,2014,6,1,1,2
1,2014,7,0,3,3
1,2014,8,0,1,1
1,2014,9,0,1,1
1,2014,10,4,1,5
1,2014,11,2,1,3
1,2014,12,0,4,4
2,2014,1,76,61,137
2,2014,2,42,62,104
2,2014,3,57,59,116
2,2014,4,51,60,111
2,2014,5,77,73,150
2,2014,6,53,61,114
2,2014,7,83,69,152
2,2014,8,81,61,142
2,2014,9,63,57,120
2,2014,10,73,57,130
2,2014,11,63,80,143
2,2014,12,60,50,110
3,2014,1,15,22,37
3,2014,2,12,12,24
3,2014,3,7,23,30
3,2014,4,17,17,34
3,2014,5,18,10,28
3,2014,6,19,9,28
3,2014,7,22,17,39
3,2014,8,24,21,45
3,2014,9,16,19,35
3,2014,10,18,16,34
3,2014,11,21,17,38
3,2014,12,26,20,46
4,2014,1,12,11,23
4,2014,2,4,9,13
4,2014,3,11,5,16
4,2014,4,3,4,7
4,2014,5,5,8,13
4,2014,6,6,7,13
4,2014,7,4,11,15
4,2014,8,6,13,19
4,2014,9,10,14,24
4,2014,10,7,10,17
4,2014,11,5,7,12
4,2014,12,8,12,20
5,2014,1,1,1,2
5,2014,2,2,0,2
5,2014,3,0,1,1
5,2014,4,1,0,1
5,2014,6,1,2,3
5,2014,7,1,0,1
5,2014,8,1,0,1
5,2014,9,1,1,2
5,2014,10,0,1,1
5,2014,11,0,2,2
5,2014,12,1,0,1
6,2014,1,5,1,6
6,2014,2,1,3,4
6,2014,3,2,4,6
6,2014,4,0,2,2
6,2014,5,1,1,2
6,2014,6,2,1,3
6,2014,7,2,1,3
6,2014,8,0,2,2
6,2014,9,3,0,3
6,2014,10,2,1,3
6,2014,11,2,3,5
6,2014,12,1,2,3
7,2014,5,0,1,1
7,2014,6,1,0,1
7,2014,9,0,1,1
7,2014,12,0,1,1
8,2014,1,1,4,5
8,2014,2,1,1,2
8,2014,3,0,1,1
8,2014,7,0,1,1
8,2014,11,0,1,1
8,2014,12,1,0,1
9,2014,1,0,1,1
9,2014,2,1,1,2
9,2014,4,0,1,1
9,2014,5,0,1,1
9,2014,7,2,0,2
9,2014,11,0,1,1
10,2014,1,0,2,2
10,2014,2,1,1,2
10,2014,3,1,0,1
10,2014,4,0,1,1
10,2014,5,0,1,1
10,2014,6,0,1,1
10,2014,7,2,1,3
10,2014,8,1,1,2
10,2014,9,0,1,1
10,2014,10,1,1,2
10,2014,11,1,1,2
10,2014,12,1,1,2
11,2014,1,2,3,5
11,2014,3,1,4,5
11,2014,4,1,2,3
11,2014,5,1,0,1
11,2014,7,2,3,5
11,2014,8,0,1,1
11,2014,9,1,0,1
11,2014,10,2,2,4
11,2014,11,2,1,3
11,2014,12,3,3,6
12,2014,1,18,16,34
12,2014,2,17,22,39
12,2014,3,15,9,24
12,2014,4,12,11,23
12,2014,5,11,10,21
12,2014,6,14,8,22
12,2014,7,17,17,34
12,2014,8,26,14,40
12,2014,9,22,20,42
12,2014,10,17,26,43
12,2014,11,13,13,26
12,2014,12,23,17,40
13,2014,1,1,0,1
13,2014,2,1,1,2
13,2014,3,0,2,2
13,2014,4,1,1,2
13,2014,7,1,0,1
13,2014,8,1,1,2
13,2014,10,1,1,2
13,2014,11,0,2,2
13,2014,12,1,2,3
14,2014,1,1,2,3
14,2014,2,3,3,6
14,2014,3,1,4,5
14,2014,4,2,1,3
14,2014,5,2,2,4
