municipio,a–o,mes,total,hombres,mujeres
1,2023,1,1,1,0
1,2023,3,2,2,0
1,2023,4,4,3,1
1,2023,6,2,2,0
1,2023,7,1,1,0
1,2023,9,1,0,1
1,2023,10,1,1,0
1,2023,11,1,1,0
1,2023,12,2,1,1
2,2023,1,38,17,21
2,2023,2,40,22,18
2,2023,3,30,14,16
2,2023,4,34,15,19
2,2023,5,38,23,15
2,2023,6,38,20,18
2,2023,7,45,21,24
2,2023,8,43,19,24
2,2023,9,37,22,15
2,2023,10,40,18,22
2,2023,11,35,21,14
2,2023,12,46,24,22
3,2023,1,18,9,9
3,2023,2,19,13,6
3,2023,3,19,14,5
3,2023,4,9,5,4
3,2023,5,18,10,8
3,2023,6,13,5,8
3,2023,7,20,9,11
3,2023,8,24,11,13
3,2023,9,34,19,15
3,2023,10,27,14,13
3,2023,11,20,10,10
3,2023,12,26,15,11
4,2023,1,13,6,7
4,2023,2,6,4,2
4,2023,3,21,9,12
4,2023,4,11,3,8
4,2023,5,9,2,7
4,2023,6,12,3,9
4,2023,7,14,6,7
4,2023,8,12,7,5
4,2023,9,16,9,7
4,2023,10,9,5,4
4,2023,11,14,8,6
4,2023,12,13,9,4
5,2023,1,6,5,1
5,2023,2,2,0,2
5,2023,3,1,0,1
5,2023,4,1,1,0
5,2023,5,2,2,0
5,2023,6,4,0,4
5,2023,8,3,2,1
6,2023,1,1,1,0
6,2023,2,1,0,1
6,2023,3,1,0,1
6,2023,4,1,0,1
6,2023,5,4,1,3
6,2023,6,3,0,3
6,2023,7,1,1,0
6,2023,8,3,2,1
6,2023,10,4,2,2
6,2023,11,1,1,0
6,2023,12,1,0,1
8,2023,2,1,0,1
8,2023,6,3,2,1
8,2023,11,1,0,1
9,2023,4,2,2,0
10,2023,1,1,0,1
10,2023,3,2,1,1
10,2023,4,1,1,0
10,2023,5,2,0,2
10,2023,6,1,1,0
10,2023,8,4,2,2
10,2023,10,1,1,0
10,2023,11,2,0,2
10,2023,12,1,0,1
11,2023,1,1,1,0
11,2023,2,2,1,1
11,2023,4,2,1,1
11,2023,5,2,1,1
11,2023,7,1,1,0
11,2023,11,2,1,1
11,2023,12,1,0,1
12,2023,1,26,15,11
12,2023,2,18,8,10
12,2023,3,17,7,10
12,2023,4,15,11,4
12,2023,5,10,4,6
12,2023,6,23,9,14
12,2023,7,20,14,6
12,2023,8,34,15,19
12,2023,9,21,8,13
12,2023,10,18,6,12
12,2023,11,10,3,7
12,2023,12,6,3,3
13,2023,2,2,1,1
13,2023,4,2,1,1
13,2023,5,4,3,1
13,2023,6,2,1,1
13,2023,7,3,2,1
13,2023,8,3,1,2
13,2023,9,5,4,1
13,2023,10,2,1,1
13,2023,11,2,1,1
14,2023,1,4,2,2
14,2023,2,5,4,1
14,2023,4,5,4,1
14,2023,6,1,1,0
14,2023,7,2,1,1
14,2023,8,9,4,5
14,2023,9,4,0,4
14,2023,10,3,1,2
14,2023,11,1,1,0
15,2023,1,1,1,0
15,2023,2,3,1,2
15,2023,3,1,0,1
15,2023,4,1,0,1
15,2023,6,2,1,1
15,2023,7,2,1,1
15,2023,8,4,2,2
15,2023,9,1,1,0
15,2023,10,6,2,4
15,2023,11,3,2,1
15,2023,12,1,1,0
16,2023,1,3,2,1
16,2023,2,4,1,3
16,2023,3,5,3,2
16,2023,4,2,1,1
16,2023,5,2,1,1
16,2023,6,2,0,2
16,2023,7,3,2,1
16,2023,8,3,1,2
16,2023,9,5,3,2
16,2023,10,9,7,2
16,2023,11,4,2,2
16,2023,12,3,1,2
17,2023,1,76,40,36
17,2023,2,64,27,37
17,2023,3,69,38,31
17,2023,4,53,19,34
17,2023,5,75,38,37
17,2023,6,46,25,21
17,2023,7,56,28,28
17,2023,8,67,38,29
17,2023,9,87,31,56
17,2023,10,72,41,31
17,2023,11,59,32,27
17,2023,12,63,31,32
18,2023,1,420,202,218
18,2023,2,391,198,193
18,2023,3,325,171,154
18,2023,4,294,154,140
18,2023,5,323,170,153
18,2023,6,335,179,156
18,2023,7,337,161,176
18,2023,8,370,200,170
18,2023,9,457,195,262
18,2023,10,404,199,205
18,2023,11,417,209,208
18,2023,12,366,205,161
19,2023,1,53,25,28
19,2023,2,43,21,22
19,2023,3,46,20,26
19,2023,4,49,23,26
19,2023,5,50,21,29
19,2023,6,46,26,20
19,2023,7,53,25,28
19,2023,8,51,25,26
19,2023,9,58,28,30
19,2023,10,59,28,31
19,2023,11,48,23,25
19,2023,12,54,30,24
20,2023,1,4,2,2
20,2023,2,3,0,3
20,2023,3,7,4,3
20,2023,4,2,0,2
20,2023,5,6,3,3
20,2023,6,3,2,1
20,2023,7,7,3,4
20,2023,8,4,1,3
20,2023,9,7,3,4
20,2023,10,5,4,1
20,2023,11,4,2,2
20,2023,12,5,3,2
21,2023,1,2,1,1
21,2023,2,7,2,5
21,2023,3,2,2,0
21,2023,4,1,1,0
21,2023,5,7,4,3
21,2023,6,6,3,3
21,2023,7,4,4,0
21,2023,8,5,3,2
21,2023,9,5,3,2
21,2023,10,2,2,0
21,2023,11,3,1,2
21,2023,12,6,4,2
22,2023,1,1,1,0
22,2023,2,3,2,1
22,2023,4,2,1,1
22,2023,5,1,1,0
22,2023,6,1,0,1
22,2023,7,3,2,1
22,2023,8,2,2,0
22,2023,9,1,0,1
22,2023,12,2,1,1
23,2023,1,8,4,4
23,2023,2,5,3,2
23,2023,3,7,3,4
23,2023,4,4,3,1
23,2023,5,6,3,3
23,2023,6,6,4,2
23,2023,7,11,6,5
23,2023,8,9,4,5
23,2023,9,7,5,2
23,2023,10,4,2,2
23,2023,11,3,1,2
23,2023,12,8,5,3
24,2023,3,1,0,1
24,2023,5,1,1,0
24,2023,6,1,1,0
24,2023,11,2,1,1
24,2023,12,1,1,0
25,2023,1,64,33,31
25,2023,2,48,20,28
25,2023,3,62,35,27
25,2023,4,47,18,29
25,2023,5,33,18,15
25,2023,6,39,27,12
25,2023,7,51,21,30
25,2023,8,79,46,33
25,2023,9,68,36,32
25,2023,10,68,38,30
25,2023,11,64,39,25
25,2023,12,53,25,28
26,2023,1,65,33,32
26,2023,2,54,23,31
26,2023,3,52,27,25
26,2023,4,51,24,27
26,2023,5,49,27,22
26,2023,6,33,14,19
26,2023,7,49,24,25
26,2023,8,57,40,17
26,2023,9,69,37,32
26,2023,10,51,31,20
26,2023,11,56,31,25
26,2023,12,63,32,31
27,2023,1,51,22,29
27,2023,2,45,26,19
27,2023,3,51,25,26
27,2023,4,43,19,24
27,2023,5,52,36,16
27,2023,6,56,31,25
27,2023,7,69,38,31
27,2023,8,58,30,28
27,2023,9,78,39,39
27,2023,10,56,32,24
27,2023,11,55,28,27
27,2023,12,48,24,24
28,2023,4,1,1,0
28,2023,6,1,1,0
28,2023,7,1,0,1
28,2023,8,1,0,1
28,2023,9,1,0,1
28,2023,11,2,1,1
28,2023,12,2,2,0
29,2023,1,148,67,81
29,2023,2,137,67,70
29,2023,3,133,76,57
29,2023,4,106,55,51
29,2023,5,102,53,49
29,2023,6,137,76,61
29,2023,7,115,63,52
29,2023,8,149,71,78
29,2023,9,160,77,83
29,2023,10,169,87,82
29,2023,11,142,62,80
29,2023,12,150,75,75
30,2023,1,879,457,422
30,2023,2,695,358,337
30,2023,3,816,426,390
30,2023,4,672,347,325
30,2023,5,742,379,363
30,2023,6,728,370,358
30,2023,7,830,450,379
30,2023,8,905,447,458
30,2023,9,952,485,467
30,2023,10,978,482,496
30,2023,11,872,471,401
30,2023,12,820,411,409
