municipio,año,mes,hombres,mujeres,total
1,2015,1,0,1,1
1,2015,2,1,1,2
1,2015,3,2,0,2
1,2015,4,0,1,1
1,2015,6,2,0,2
1,2015,7,1,0,1
1,2015,8,2,1,3
1,2015,9,1,0,1
1,2015,10,2,3,5
1,2015,11,2,1,3
1,2015,12,3,2,5
2,2015,1,61,65,126
2,2015,2,57,51,108
2,2015,3,62,51,113
2,2015,4,45,47,92
2,2015,5,73,50,123
2,2015,6,64,54,118
2,2015,7,70,78,148
2,2015,8,60,45,105
2,2015,9,62,62,124
2,2015,10,71,63,134
2,2015,11,59,60,119
2,2015,12,71,65,136
3,2015,1,21,16,37
3,2015,2,19,22,41
3,2015,3,17,16,33
3,2015,4,17,21,38
3,2015,5,17,14,31
3,2015,6,15,8,23
3,2015,7,10,22,32
3,2015,8,17,11,28
3,2015,9,16,19,35
3,2015,10,14,18,32
3,2015,11,15,11,26
3,2015,12,7,9,16
4,2015,1,5,4,9
4,2015,2,9,4,13
4,2015,3,7,3,10
4,2015,4,8,4,12
4,2015,5,10,6,16
4,2015,6,10,3,13
4,2015,7,6,6,12
4,2015,8,8,6,14
4,2015,9,9,9,18
4,2015,10,10,12,22
4,2015,11,3,6,9
4,2015,12,11,8,19
5,2015,1,0,1,1
5,2015,6,0,2,2
5,2015,7,3,0,3
5,2015,8,1,0,1
5,2015,9,2,0,2
5,2015,10,3,0,3
5,2015,11,1,0,1
5,2015,12,1,0,1
6,2015,2,0,1,1
6,2015,3,1,1,2
6,2015,5,1,2,3
6,2015,6,1,0,1
6,2015,7,2,1,3
6,2015,8,3,1,4
6,2015,9,1,4,5
6,2015,10,2,1,3
6,2015,11,2,2,4
6,2015,12,0,1,1
7,2015,6,0,1,1
7,2015,7,0,3,3
7,2015,12,0,1,1
8,2015,1,0,1,1
8,2015,4,2,0,2
8,2015,5,1,1,2
8,2015,6,0,1,1
8,2015,8,0,1,1
8,2015,9,1,1,2
8,2015,10,2,2,4
8,2015,11,0,1,1
8,2015,12,0,2,2
9,2015,4,1,0,1
9,2015,5,1,1,2
9,2015,6,0,1,1
9,2015,7,0,1,1
9,2015,8,0,1,1
9,2015,9,0,2,2
9,2015,11,0,1,1
9,2015,12,1,1,2
10,2015,1,1,2,3
10,2015,2,1,0,1
10,2015,4,1,0,1
10,2015,6,1,0,1
10,2015,7,0,1,1
10,2015,8,1,1,2
10,2015,9,1,5,6
10,2015,10,0,3,3
10,2015,11,1,1,2
10,2015,12,1,1,2
11,2015,1,1,0,1
11,2015,4,1,2,3
11,2015,5,1,2,3
11,2015,6,3,3,6
11,2015,7,1,2,3
11,2015,8,2,1,3
11,2015,9,1,1,2
11,2015,10,2,0,2
11,2015,12,2,0,2
12,2015,1,9,17,26
12,2015,2,19,15,34
12,2015,3,13,18,31
12,2015,4,9,12,21
12,2015,5,14,9,23
12,2015,6,8,13,21
12,2015,7,20,12,32
12,2015,8,20,17,37
12,2015,9,13,16,29
12,2015,10,15,20,35
12,2015,11,17,14,31
12,2015,12,12,12,24
13,2015,1,2,3,5
13,2015,2,1,2,3
13,2015,3,1,1,2
13,2015,4,1,1,2
13,2015,5,2,0,2
13,2015,8,1,2,3
13,2015,9,2,0,2
13,2015,10,1,0,1
13,2015,11,1,1,2
14,2015,1,3,3,6
14,2015,2,7,2,9
14,2015,3,1,0,1
14,2015,4,2,3,5
14,2015,5,0,2,2
14,2015,6,3,2,5
14,2015,7,3,1,4
14,2015,8,2,1,3
14,2015,9,0,1,1
14,2015,10,1,2,3
14,2015,11,0,1,1
14,2015,12,5,0,5
15,2015,1,0,1,1
15,2015,2,1,2,3
15,2015,3,1,2,3
15,2015,4,0,1,1
15,2015,5,0,3,3
15,2015,6,1,0,1
15,2015,8,0,1,1
15,2015,9,1,0,1
15,2015,10,1,1,2
15,2015,11,3,1,4
15,2015,12,5,2,7
16,2015,1,9,3,12
16,2015,2,2,6,8
16,2015,3,5,2,7
16,2015,4,2,2,4
16,2015,5,3,0,3
16,2015,6,2,1,3
16,2015,7,3,3,6
16,2015,8,4,4,8
16,2015,9,3,9,12
16,2015,10,4,3,7
16,2015,11,7,4,11
16,2015,12,4,3,7
17,2015,1,71,74,145
17,2015,2,52,59,111
17,2015,3,62,56,118
17,2015,4,51,53,104
17,2015,5,66,46,112
17,2015,6,42,52,94
17,2015,7,53,44,97
17,2015,8,64,71,135
17,2015,9,81,64,145
17,2015,10,59,60,119
17,2015,11,63,61,124
17,2015,12,78,61,139
18,2015,1,319,304,623
18,2015,2,244,256,500
18,2015,3,262,255,517
18,2015,4,249,237,486
18,2015,5,242,236,478
18,2015,6,242,236,478
18,2015,7,284,272,556
18,2015,8,323,291,614
18,2015,9,364,336,700
18,2015,10,350,344,694
18,2015,11,290,315,605
18,2015,12,323,326,649
19,2015,1,35,30,65
19,2015,2,30,27,57
19,2015,3,33,27,61
19,2015,4,33,29,62
19,2015,5,22,30,52
19,2015,6,36,29,65
19,2015,7,34,26,60
19,2015,8,50,44,94
19,2015,9,34,26,60
19,2015,10,33,38,71
19,2015,11,20,29,49
19,2015,12,26,30,56
20,2015,1,2,4,6
20,2015,2,5,1,6
20,2015,3,3,7,10
20,2015,4,4,1,5
20,2015,5,4,2,6
20,2015,6,8,3,11
20,2015,7,2,3,5
20,2015,8,5,1,6
20,2015,9,5,4,9
20,2015,10,2,1,3
20,2015,11,3,3,6
20,2015,12,2,6,8
21,2015,1,0,1,1
21,2015,2,2,0,2
21,2015,3,2,0,2
21,2015,4,0,1,1
