municipio,año,mes,hombres,mujeres,total
1,2011,1,3,0,3
1,2011,2,0,1,1
1,2011,3,1,0,1
1,2011,4,2,3,5
1,2011,5,3,1,4
1,2011,6,3,0,3
1,2011,7,0,4,4
1,2011,8,3,2,5
1,2011,9,2,3,5
1,2011,10,0,1,1
1,2011,11,1,1,2
1,2011,12,1,2,3
2,2011,1,65,67,132
2,2011,2,44,67,111
2,2011,3,73,64,137
2,2011,4,78,63,141
2,2011,5,58,65,123
2,2011,6,69,60,129
2,2011,7,66,50,116
2,2011,8,63,58,121
2,2011,9,66,64,130
2,2011,10,71,61,132
2,2011,11,59,49,108
2,2011,12,69,81,150
3,2011,1,15,14,29
3,2011,2,25,22,47
3,2011,3,16,20,36
3,2011,4,15,17,32
3,2011,5,13,11,24
3,2011,6,15,18,33
3,2011,7,19,22,41
3,2011,8,17,23,40
3,2011,9,17,26,43
3,2011,10,23,20,43
3,2011,11,24,24,48
3,2011,12,17,17,34
4,2011,1,8,5,13
4,2011,2,7,10,17
4,2011,3,6,4,10
4,2011,4,8,6,14
4,2011,5,14,9,23
4,2011,6,12,7,19
4,2011,7,3,8,11
4,2011,8,8,6,14
4,2011,9,12,8,20
4,2011,10,4,8,12
4,2011,11,12,8,20
4,2011,12,10,10,20
5,2011,1,1,0,1
5,2011,3,1,0,1
5,2011,5,0,1,1
5,2011,7,1,0,1
5,2011,9,3,0,3
5,2011,10,3,3,6
5,2011,11,2,0,2
5,2011,12,1,1,2
6,2011,1,2,3,5
6,2011,2,2,3,5
6,2011,3,3,4,7
6,2011,4,1,4,5
6,2011,5,1,2,3
6,2011,6,2,2,4
6,2011,7,0,4,4
6,2011,8,1,1,2
6,2011,9,1,1,2
6,2011,10,3,1,4
6,2011,11,1,4,5
6,2011,12,1,0,1
7,2011,1,1,1,2
7,2011,3,3,0,3
7,2011,4,1,1,2
7,2011,5,0,1,1
7,2011,7,0,1,1
7,2011,9,0,1,1
7,2011,11,1,0,1
7,2011,12,1,0,1
8,2011,1,0,1,1
8,2011,3,1,0,1
8,2011,4,2,0,2
8,2011,6,2,2,4
8,2011,7,0,2,2
8,2011,8,1,2,3
8,2011,9,1,2,3
8,2011,10,2,0,2
8,2011,11,0,1,1
8,2011,12,0,1,1
9,2011,2,2,0,2
9,2011,4,0,1,1
9,2011,6,1,0,1
9,2011,7,0,1,1
9,2011,9,0,2,2
9,2011,10,2,1,3
9,2011,11,1,0,1
9,2011,12,1,1,2
10,2011,2,0,1,1
10,2011,3,1,0,1
10,2011,4,0,1,1
10,2011,5,1,1,2
10,2011,6,0,2,2
10,2011,7,2,0,2
10,2011,8,1,2,3
10,2011,9,3,0,3
10,2011,10,1,0,1
10,2011,11,2,0,2
10,2011,12,4,1,5
11,2011,1,2,0,2
11,2011,2,1,0,1
11,2011,3,1,0,1
11,2011,4,1,0,1
11,2011,5,3,2,5
11,2011,6,1,0,1
11,2011,7,1,1,2
11,2011,8,4,0,4
11,2011,9,0,3,3
11,2011,10,1,1,2
11,2011,11,3,1,4
11,2011,12,1,1,2
12,2011,1,17,15,32
12,2011,2,18,9,27
12,2011,3,20,14,34
12,2011,4,12,10,22
12,2011,5,6,7,13
12,2011,6,18,15,33
12,2011,7,13,19,32
12,2011,8,15,21,36
12,2011,9,24,16,40
12,2011,10,18,18,36
12,2011,11,18,17,35
12,2011,12,20,22,42
13,2011,1,0,1,1
13,2011,2,0,2,2
13,2011,3,0,1,1
13,2011,4,1,0,1
13,2011,5,1,2,3
13,2011,6,4,0,4
13,2011,7,0,3,3
13,2011,9,1,1,2
13,2011,10,0,1,1
13,2011,11,3,0,3
13,2011,12,3,0,3
14,2011,1,2,0,2
14,2011,2,1,0,1
14,2011,3,1,0,1
14,2011,4,1,3,4
14,2011,5,0,2,2
14,2011,7,1,0,1
14,2011,8,3,2,5
14,2011,9,1,0,1
14,2011,11,2,0,2
14,2011,12,0,1,1
15,2011,1,1,1,2
15,2011,2,0,3,3
15,2011,3,3,0,3
15,2011,4,2,2,4
15,2011,5,1,0,1
15,2011,6,1,0,1
15,2011,7,1,2,3
15,2011,8,1,0,1
15,2011,9,1,3,4
15,2011,10,1,1,2
15,2011,11,1,1,2
15,2011,12,3,0,3
16,2011,1,3,2,5
16,2011,2,5,5,10
16,2011,3,6,6,12
16,2011,4,5,0,5
16,2011,5,2,1,3
16,2011,6,2,3,5
16,2011,7,8,4,12
16,2011,8,3,3,6
16,2011,9,4,1,5
16,2011,10,6,6,12
16,2011,11,7,2,9
16,2011,12,5,6,11
17,2011,1,70,61,131
17,2011,2,63,52,115
17,2011,3,65,67,132
17,2011,4,50,49,99
17,2011,5,51,62,113
17,2011,6,60,63,123
17,2011,7,65,74,139
17,2011,8,63,88,151
17,2011,9,82,91,173
17,2011,10,75,67,142
17,2011,11,72,81,153
17,2011,12,68,72,140
18,2011,1,317,311,628
18,2011,2,306,260,566
18,2011,3,271,325,596
18,2011,4,236,252,488
18,2011,5,255,225,480
18,2011,6,262,235,497
18,2011,7,292,292,584
18,2011,8,360,354,714
18,2011,9,394,382,776
18,2011,10,400,361,761
18,2011,11,349,345,694
18,2011,12,349,338,687
19,2011,1,25,20,45
19,2011,2,19,26,45
19,2011,3,34,38,72
19,2011,4,35,17,52
19,2011,5,22,28,50
19,2011,6,33,35,68
19,2011,7,34,27,61
19,2011,8,34,30,64
19,2011,9,27,29,56
19,2011,10,29,27,56
19,2011,11,19,27,46
19,2011,12,31,32,63
20,2011,1,7,2,9
20,2011,2,7,4,11
20,2011,3,1,1,2
20,2011,4,4,5,9
20,2011,5,8,4,12
20,2011,6,6,5,11
20,2011,7,5,5,10
20,2011,8,6,4,10
20,2011,9,5,2,7
20,2011,10,3,5,8
20,2011,11,4,3,7
20,2011,12,2,5,7
21,2011,1,0,1,1
21,2011,2,1,1,2
21,2011,3,2,0,2
21,2011,4,0,1,1
21,2011,5,0,1,1
21,2011,6,2,0,2
21,2011,7,1,1,2
21,2011,8,1,0,1
21,2011,9,1,3,4
21,2011,10,3,2,5
21,2011,11,2,1,3
21,2011,12,2,0,2
22,2011,1,1,1,2
22,2011,2,1,0,1
22,2011,5,1,0,1
22,2011,7,3,1,4
22,2011,8,0,1,1
22,2011,9,0,1,1
22,2011,10,1,2,3
22,2011,11,0,1,1
22,2011,12,2,0,2
23,2011,1,1,2,3
23,2011,2,7,4,11
23,2011,3,5,5,10
23,2011,4,3,4,7
23,2011,5,2,3,5
23,2011,6,8,2,10
23,2011,7,5,4,9
23,2011,8,4,6,10
23,2011,9,5,2,7
23,2011,10,4,2,6
23,2011,11,3,3,6
23,2011,12,4,2,6
24,2011,1,1,1,2
24,2011,3,3,0,3
24,2011,4,1,0,1
24,2011,5,0,1,1
24,2011,7,2,1,3
24,2011,8,1,0,1
24,2011,9,1,1,2
24,2011,12,3,0,3
25,2011,1,43,42,85
25,2011,2,44,35,79
25,2011,3,40,45,85
25,2011,4,41,27,68
25,2011,5,31,22,53
25,2011,6,31,30,61
25,2011,7,41,30,71
25,2011,8,48,49,97
25,2011,9,51,38,89
25,2011,10,47,39,86
25,2011,11,38,43,81
25,2011,12,37,30,67
26,2011,1,31,39,70
26,2011,2,45,40,85
26,2011,3,38,30,68
26,2011,4,25,22,47
26,2011,5,27,27,54
26,2011,6,28,15,43
26,2011,7,39,36,75
26,2011,8,60,49,109
26,2011,9,62,38,100
26,2011,10,54,41,95
26,2011,11,64,54,118
26,2011,12,50,41,91
27,2011,1,13,5,18
27,2011,2,8,11,19
27,2011,3,10,8,18
27,2011,4,11,7,18
27,2011,5,9,7,16
27,2011,6,5,4,9
27,2011,7,6,13,19
27,2011,8,9,9,18
27,2011,9,7,5,12
27,2011,10,7,11,18
27,2011,11,7,4,11
27,2011,12,4,7,11
28,2011,2,1,0,1
28,2011,4,1,1,2
28,2011,5,3,0,3
28,2011,7,0,2,2
28,2011,8,0,1,1
28,2011,9,1,0,1
28,2011,10,2,0,2
28,2011,12,1,0,1
29,2011,1,146,138,284
29,2011,2,107,107,214
29,2011,3,123,119,242
29,2011,4,89,107,196
29,2011,5,112,83,195
29,2011,6,89,90,179
29,2011,7,132,99,231
29,2011,8,158,148,306
29,2011,9,148,134,282
29,2011,10,153,167,320
29,2011,11,128,147,275
29,2011,12,135,132,267
30,2011,1,735,684,1419
30,2011,2,619,564,1183
30,2011,3,656,661,1317
30,2011,4,574,537,1111
30,2011,5,521,538,1059
30,2011,6,530,512,1042
30,2011,7,673,660,1333
30,2011,8,780,755,1535
30,2011,9,836,773,1609
30,2011,10,752,744,1496
30,2011,11,711,673,1384
30,2011,12,697,729,1426
31,2011,2,1,1,2
31,2011,4,0,2,2
31,2011,5,0,1,1
31,2011,6,0,2,2
31,2011,7,1,1,2
31,2011,8,1,3,4
31,2011,10,0,1,1
31,2011,11,1,2,3
31,2011,12,1,0,1
32,2011,1,2,0,2
32,2011,2,1,0,1
32,2011,5,1,0,1
32,2011,7,0,2,2
32,2011,9,1,1,2
32,2011,12,0,2,2
33,2011,1,62,59,121
33,2011,2,53,65,118
33,2011,3,46,57,103
33,2011,4,37,42,79
33,2011,5,43,38,81
33,2011,6,41,31,72
33,2011,7,65,63,128
33,2011,8,62,60,122
33,2011,9,74,64,138
