municipio,año,mes,hombres,mujeres,total
1,2017,1,0,1,1
1,2017,2,0,2,2
1,2017,3,1,0,1
1,2017,4,1,1,2
1,2017,6,2,0,2
1,2017,8,1,1,2
1,2017,9,1,1,2
1,2017,10,1,1,2
1,2017,11,2,0,2
1,2017,12,0,5,5
2,2017,1,47,50,97
2,2017,2,57,67,124
2,2017,3,48,52,100
2,2017,4,44,55,99
2,2017,5,58,52,110
2,2017,6,67,46,113
2,2017,7,62,70,132
2,2017,8,68,47,115
2,2017,9,80,72,152
2,2017,10,68,70,138
2,2017,11,72,68,140
2,2017,12,56,65,121
3,2017,1,15,11,26
3,2017,2,10,13,23
3,2017,3,7,11,18
3,2017,4,9,5,14
3,2017,5,14,16,30
3,2017,6,12,12,24
3,2017,7,12,19,31
3,2017,8,10,10,20
3,2017,9,22,21,43
3,2017,10,8,17,25
3,2017,11,12,16,28
3,2017,12,11,19,30
4,2017,1,8,8,16
4,2017,2,2,8,10
4,2017,3,4,8,12
4,2017,4,4,5,9
4,2017,5,3,8,11
4,2017,6,5,12,17
4,2017,7,12,6,18
4,2017,8,11,10,21
4,2017,9,9,6,15
4,2017,10,10,8,18
4,2017,11,9,6,15
4,2017,12,5,6,11
5,2017,1,0,2,2
5,2017,3,1,0,1
5,2017,5,1,1,2
5,2017,8,2,1,3
5,2017,9,1,1,2
5,2017,10,1,0,1
5,2017,11,1,1,2
5,2017,12,1,1,2
6,2017,1,0,3,3
6,2017,2,1,1,2
6,2017,4,2,1,3
6,2017,5,1,1,2
6,2017,6,1,2,3
6,2017,7,0,1,1
6,2017,8,1,2,3
6,2017,9,1,1,2
6,2017,10,0,1,1
6,2017,11,2,0,2
6,2017,12,1,1,2
8,2017,1,0,1,1
8,2017,2,1,0,1
8,2017,7,0,1,1
9,2017,2,0,1,1
10,2017,12,0,2,2
11,2017,1,1,0,1
11,2017,2,1,0,1
11,2017,3,1,2,3
11,2017,5,1,2,3
11,2017,8,1,0,1
11,2017,9,1,0,1
11,2017,11,1,1,2
11,2017,12,0,1,1
12,2017,1,9,21,30
12,2017,2,8,10,18
12,2017,3,13,9,22
12,2017,4,14,5,19
12,2017,5,10,9,19
12,2017,6,10,5,15
12,2017,7,14,15,29
12,2017,8,21,11,32
12,2017,9,14,9,23
12,2017,10,11,12,23
12,2017,11,14,20,34
12,2017,12,9,13,22
13,2017,1,3,0,3
13,2017,2,1,2,3
13,2017,3,2,0,2
13,2017,4,2,2,4
13,2017,5,1,0,1
13,2017,6,0,2,2
13,2017,7,3,2,5
13,2017,8,4,2,6
13,2017,10,1,2,3
13,2017,11,1,0,1
13,2017,12,1,2,3
14,2017,1,1,1,2
14,2017,2,2,2,4
14,2017,3,0,3,3
14,2017,4,0,2,2
14,2017,5,0,1,1
14,2017,6,3,1,4
14,2017,7,3,0,3
14,2017,8,2,3,5
14,2017,9,0,2,2
14,2017,10,1,2,3
14,2017,11,3,4,7
14,2017,12,2,1,3
15,2017,1,1,0,1
15,2017,2,1,1,2
15,2017,3,1,0,1
15,2017,8,1,0,1
15,2017,10,1,1,2
15,2017,11,0,1,1
15,2017,12,0,1,1
16,2017,1,2,2,4
16,2017,2,2,5,7
16,2017,3,5,4,9
16,2017,4,0,1,1
16,2017,5,5,5,10
16,2017,6,2,3,5
16,2017,7,4,2,6
16,2017,8,7,6,13
16,2017,9,5,3,8
16,2017,10,4,6,10
16,2017,11,6,3,9
16,2017,12,3,5,8
17,2017,1,54,63,117
17,2017,2,60,51,111
17,2017,3,56,51,107
17,2017,4,29,38,67
17,2017,5,44,32,76
17,2017,6,36,57,93
17,2017,7,54,54,108
17,2017,8,71,51,122
17,2017,9,64,64,128
17,2017,10,53,53,106
17,2017,11,56,60,116
17,2017,12,57,47,104
18,2017,1,295,282,577
18,2017,2,259,248,507
18,2017,3,238,240,478
18,2017,4,215,225,440
18,2017,5,215,260,475
18,2017,6,248,233,481
18,2017,7,279,264,543
18,2017,8,335,312,647
18,2017,9,329,350,679
18,2017,10,310,315,625
18,2017,11,310,296,606
18,2017,12,302,260,562
19,2017,1,30,27,57
19,2017,2,20,22,42
19,2017,3,23,25,48
19,2017,4,31,20,51
19,2017,5,29,23,52
19,2017,6,30,27,57
19,2017,7,26,29,55
19,2017,8,30,35,65
19,2017,9,32,43,75
19,2017,10,32,41,73
19,2017,11,29,20,49
19,2017,12,35,33,68
20,2017,1,4,2,6
20,2017,2,1,3,4
20,2017,3,2,6,8
20,2017,4,6,2,8
20,2017,5,2,3,5
20,2017,6,2,1,3
20,2017,7,6,2,8
20,2017,8,2,8,10
20,2017,9,4,3,7
20,2017,10,6,3,9
20,2017,11,4,4,8
20,2017,12,2,2,4
21,2017,1,0,1,1
21,2017,2,3,1,4
21,2017,3,2,2,4
21,2017,4,1,1,2
21,2017,5,1,2,3
21,2017,6,2,2,4
21,2017,7,0,1,1
21,2017,8,1,2,3
21,2017,9,0,1,1
21,2017,11,2,0,2
21,2017,12,0,1,1
22,2017,1,1,0,1
22,2017,6,1,0,1
22,2017,7,0,1,1
23,2017,1,1,0,1
23,2017,2,1,2,3
23,2017,3,0,2,2
23,2017,4,3,3,6
23,2017,5,2,3,5
23,2017,6,5,1,6
23,2017,7,2,3,5
23,2017,8,0,2,2
23,2017,9,0,5,5
23,2017,10,4,5,9
23,2017,11,4,2,6
23,2017,12,4,4,8
24,2017,3,1,1,2
24,2017,5,2,1,3
24,2017,6,1,0,1
24,2017,8,0,1,1
24,2017,9,1,0,1
24,2017,12,1,1,2
25,2017,1,35,42,77
25,2017,2,37,41,78
25,2017,3,38,18,56
25,2017,4,25,25,50
25,2017,5,29,22,51
25,2017,6,36,30,66
25,2017,7,48,32,80
25,2017,8,37,44,81
25,2017,9,40,35,75
25,2017,10,48,40,88
25,2017,11,45,33,78
25,2017,12,31,35,66
26,2017,1,40,35,75
26,2017,2,31,31,62
26,2017,3,26,25,51
26,2017,4,27,19,46
26,2017,5,37,27,64
26,2017,6,32,30,62
26,2017,7,45,32,77
26,2017,8,50,47,97
26,2017,9,43,41,84
26,2017,10,44,36,80
26,2017,11,34,46,80
26,2017,12,30,34,64
27,2017,1,8,7,15
27,2017,2,5,3,8
27,2017,3,9,4,13
27,2017,4,4,5,9
27,2017,5,5,2,7
27,2017,6,9,6,15
27,2017,7,4,6,10
27,2017,8,11,9,20
27,2017,9,6,12,18
27,2017,10,8,5,13
27,2017,11,8,0,8
27,2017,12,7,9,16
28,2017,3,0,2,2
28,2017,4,1,0,1
28,2017,5,0,1,1
28,2017,10,1,0,1
29,2017,1,125,121,246
29,2017,2,93,85,178
29,2017,3,93,108,201
29,2017,4,76,86,163
29,2017,5,82,89,171
29,2017,6,102,84,186
29,2017,7,111,90,201
29,2017,8,126,141,267
29,2017,9,135,133,268
29,2017,10,132,125,257
29,2017,11,106,130,236
29,2017,12,120,94,214
30,2017,1,622,590,1212
30,2017,2,547,522,1069
30,2017,3,554,562,1116
30,2017,4,492,449,941
30,2017,5,514,475,989
30,2017,6,562,506,1068
30,2017,7,617,530,1147
30,2017,8,684,664,1348
30,2017,9,678,672,1350
30,2017,10,706,634,1340
30,2017,11,613,566,1179
30,2017,12,628,567,1195
31,2017,1,1,4,5
31,2017,2,3,0,3
31,2017,3,1,3,4
31,2017,4,1,2,3
31,2017,5,2,5,7
31,2017,6,2,1,3
31,2017,7,0,3,3
31,2017,8,7,0,7
31,2017,9,2,2,4
31,2017,10,1,2,3
31,2017,11,1,2,3
32,2017,1,0,1,1
32,2017,6,1,0,1
32,2017,7,0,1,1
32,2017,8,0,1,1
32,2017,10,1,0,1
32,2017,12,1,0,1
33,2017,1,60,49,109
33,2017,2,51,51,102
33,2017,3,47,51,98
33,2017,4,36,27,63
33,2017,5,34,45,79
33,2017,6,34,46,80
33,2017,7,54,48,102
33,2017,8,65,58,123
33,2017,9,70,65,135
33,2017,10,66,67,133
33,2017,11,49,53,102
33,2017,12,55,68,123
34,2017,1,0,1,1
34,2017,3,1,0,1
34,2017,4,1,0,1
34,2017,5,1,0,1
34,2017,6,1,0,1
34,2017,8,1,0,1
34,2017,11,2,0,2
34,2017,12,2,0,2
35,2017,1,13,9,22
35,2017,2,5,4,9
35,2017,3,9,7,16
35,2017,4,9,10,19
35,2017,5,10,9,19
35,2017,6,15,8,23
35,2017,7,16,7,23
35,2017,8,10,11,21
35,2017,9,16,12,28
35,2017,10,10,16,26
35,2017,11,9,12,21
35,2017,12,14,10,24
36,2017,1,23,28,51
36,2017,2,27,22,49
36,2017,3,25,22,47
36,2017,4,14,17,31
36,2017,5,15,21,36
36,2017,6,34,23,57
36,2017,7,26,32,58
36,2017,8,28,26,54
36,2017,9,33,24,57
36,2017,10,22,22,44
36,2017,11,18,24,42
36,2017,12,25,22,47
37,2017,1,0,1,1
37,2017,2,1,0,1
37,2017,4,1,1,2
37,2017,5,0,1,1
37,2017,8,2,0,2
37,2017,12,0,1,1
38,2017,1,7,2,9
38,2017,2,3,2,5
38,2017,3,5,4,9
38,2017,4,4,3,7
38,2017,5,5,5,10
38,2017,6,5,2,7
38,2017,7,5,2,7
38,2017,8,6,5,11
38,2017,9,6,3,9
38,2017,10,4,3,7
38,2017,11,6,6,12
38,2017,12,5,2,7
39,2017,1,6,1,7
39,2017,2,1,2,3
39,2017,3,2,4,6
39,2017,4,1,5,6
39,2017,5,4,2,6
39,2017,6,3,4,7
39,2017,7,2,0,2
39,2017,8,2,9,11
39,2017,9,7,2,9
39,2017,10,1,7,8
39,2017,11,3,5,8
39,2017,12,6,2,8
40,2017,1,1,2,3
40,2017,2,1,0,1
40,2017,3,1,3,4
40,2017,4,2,5,7
40,2017,5,1,1,2
40,2017,6,1,1,2
40,2017,7,0,1,1
40,2017,8,2,2,4
40,2017,9,2,3,5
40,2017,10,1,1,2
40,2017,11,0,3,3
40,2017,12,1,0,1
41,2017,1,10,10,20
41,2017,2,8,8,16
41,2017,3,6,8,14
41,2017,4,7,6,13
41,2017,5,8,12,20
41,2017,6,12,14,26
41,2017,7,15,12,27
41,2017,8,6,12,18
41,2017,9,14,10,24
41,2017,10,12,14,26
41,2017,11,8,4,12
41,2017,12,7,6,13
42,2017,1,132,136,268
42,2017,2,113,108,221
42,2017,3,104,104,208
42,2017,4,99,84,183
42,2017,5,91,89,180
42,2017,6,116,107,223
42,2017,7,121,110,231
42,2017,8,132,134,266
42,2017,9,162,170,332
42,2017,10,139,147,286
42,2017,11,142,121,263
42,2017,12,135,128,263
43,2017,1,177,153,330
43,2017,2,165,147,312
43,2017,3,158,138,296
43,2017,4,150,159,309
43,2017,5,153,143,296
43,2017,6,162,149,311
43,2017,7,193,149,342
43,2017,8,168,171,339
43,2017,9,147,168,315
43,2017,10,185,163,348
43,2017,11,165,145,310
43,2017,12,178,169,347
45,2017,1,0,1,1
45,2017,2,1,1,2
45,2017,3,2,2,4
45,2017,4,1,1,2
45,2017,5,1,1,2
45,2017,7,2,0,2
45,2017,8,2,0,2
45,2017,10,2,0,2
45,2017,11,0,1,1
45,2017,12,1,0,1
46,2017,1,2,2,4
46,2017,2,4,2,6
46,2017,3,0,2,2
46,2017,4,1,1,2
46,2017,5,0,1,1
46,2017,6,3,1,4
46,2017,7,2,1,3
46,2017,8,1,3,4
46,2017,9,2,4,6
46,2017,10,1,1,2
46,2017,11,1,0,1
46,2017,12,3,2,5
47,2017,1,9,10,19
47,2017,2,13,9,22
47,2017,3,13,8,21
47,2017,4,5,2,7
47,2017,5,8,9,17
47,2017,6,3,6,9
47,2017,7,10,12,22
47,2017,8,11,13,24
47,2017,9,14,12,26
47,2017,10,14,6,20
47,2017,11,11,9,20
47,2017,12,11,12,23
48,2017,1,44,34,78
48,2017,2,45,49,94
48,2017,3,30,38,68
48,2017,4,22,30,52
48,2017,5,33,39,72
48,2017,6,37,40,77
48,2017,7,35,37,72
48,2017,8,62,40,102
48,2017,9,28,54,82
48,2017,10,45,47,92
48,2017,11,45,33,78
48,2017,12,36,51,87
49,2017,1,1,0,1
49,2017,2,2,2,4
49,2017,3,2,4,6
49,2017,4,1,0,1
49,2017,5,1,0,1
49,2017,6,2,1,3
49,2017,7,1,1,2
49,2017,8,1,6,7
49,2017,9,3,4,7
49,2017,10,3,2,5
49,2017,11,4,1,5
49,2017,12,0,2,2
50,2017,1,1,0,1
50,2017,3,0,1,1
50,2017,4,0,1,1
50,2017,5,1,0,1
50,2017,7,1,2,3
50,2017,8,0,2,2
50,2017,9,1,2,3
50,2017,10,1,2,3
50,2017,11,0,2,2
50,2017,12,3,2,5
51,2017,1,2,3,5
51,2017,2,2,2,4
51,2017,3,5,2,7
51,2017,4,2,1,3
51,2017,5,5,4,9
51,2017,6,1,3,4
51,2017,7,0,3,3
51,2017,8,4,2,6
51,2017,9,4,3,7
51,2017,10,7,3,10
51,2017,11,3,7,10
51,2017,12,3,1,4
52,2017,1,3,3,6
52,2017,2,2,8,10
52,2017,3,3,1,4
52,2017,4,2,5,7
52,2017,5,3,2,5
52,2017,6,4,2,6
52,2017,7,2,1,3
52,2017,8,3,6,9
52,2017,9,5,4,9
52,2017,10,4,3,7
52,2017,11,7,0,7
52,2017,12,1,3,4
53,2017,1,1,0,1
53,2017,3,2,0,2
53,2017,4,0,1,1
53,2017,8,1,0,1
53,2017,9,0,1,1
55,2017,1,125,123,248
55,2017,2,109,121,230
55,2017,3,100,115,215
55,2017,4,119,96,215
55,2017,5,124,102,226
55,2017,6,123,110,233
55,2017,7,134,132,266
55,2017,8,137,143,280
55,2017,9,178,131,309
55,2017,10,155,142,297
55,2017,11,140,108,248
55,2017,12,147,135,282
