municipio,año,mes,hombres,mujeres,total
22,2022,7,2,0,2
22,2022,8,2,1,3
22,2022,9,2,1,3
22,2022,12,0,1,1
23,2022,1,1,0,1
23,2022,2,1,2,3
23,2022,3,1,3,4
23,2022,4,1,0,1
23,2022,5,2,1,3
23,2022,6,2,0,2
23,2022,7,3,1,4
23,2022,8,2,6,8
23,2022,9,4,2,6
23,2022,10,2,1,3
23,2022,12,1,2,3
24,2022,2,0,1,1
24,2022,5,0,1,1
24,2022,8,0,1,1
24,2022,9,2,0,2
24,2022,10,0,1,1
24,2022,11,1,0,1
24,2022,12,1,0,1
25,2022,1,29,31,60
25,2022,2,28,27,55
25,2022,3,26,23,49
25,2022,4,34,29,63
25,2022,5,18,20,38
25,2022,6,22,28,50
25,2022,7,28,26,54
25,2022,8,38,39,77
25,2022,9,45,33,78
25,2022,10,35,35,70
25,2022,11,43,26,69
25,2022,12,34,27,61
26,2022,1,26,33,59
26,2022,2,39,28,67
26,2022,3,22,28,50
26,2022,4,35,23,58
26,2022,5,18,15,33
26,2022,6,19,30,49
26,2022,7,25,26,51
26,2022,8,43,34,77
26,2022,9,37,27,64
26,2022,10,26,41,67
26,2022,11,33,28,61
26,2022,12,29,32,61
27,2022,1,5,11,16
27,2022,2,9,5,14
27,2022,3,9,13,22
27,2022,4,9,8,17
27,2022,5,15,20,35
27,2022,6,18,14,32
27,2022,7,20,23,43
27,2022,8,15,29,44
27,2022,9,26,27,53
27,2022,10,25,31,56
27,2022,11,32,18,50
27,2022,12,24,31,55
28,2022,1,2,0,2
28,2022,3,0,2,2
28,2022,4,1,0,1
28,2022,9,1,0,1
28,2022,11,1,0,1
28,2022,12,2,1,3
29,2022,1,82,75,157
29,2022,2,60,61,121
29,2022,3,67,69,136
29,2022,4,59,54,113
29,2022,5,49,57,106
29,2022,6,60,63,123
29,2022,7,70,77,147
29,2022,8,77,79,156
29,2022,9,99,79,180
29,2022,10,61,88,149
29,2022,11,70,62,132
29,2022,12,59,75,134
30,2022,1,427,425,852
30,2022,2,382,371,753
30,2022,3,395,390,785
30,2022,4,329,329,658
30,2022,5,357,327,684
30,2022,6,377,353,730
30,2022,7,433,444,877
30,2022,8,473,469,942
30,2022,9,475,463,938
30,2022,10,477,434,911
30,2022,11,425,405,831
30,2022,12,423,406,830
31,2022,4,0,2,2
31,2022,5,3,0,3
31,2022,7,0,1,1
31,2022,11,2,1,3
31,2022,12,1,0,1
32,2022,4,0,1,1
32,2022,9,2,0,2
32,2022,10,0,1,1
32,2022,12,1,0,1
33,2022,1,36,50,86
33,2022,2,38,28,66
33,2022,3,42,40,82
33,2022,4,38,26,64
33,2022,5,32,16,48
33,2022,6,40,32,72
