municipio,año,mes,hombres,mujeres,total
1,2020,1,2,2,4
1,2020,2,1,1,2
1,2020,3,0,1,1
1,2020,5,2,3,5
1,2020,6,2,2,4
1,2020,7,1,1,2
1,2020,8,0,1,1
1,2020,9,3,2,5
1,2020,10,1,2,3
1,2020,11,3,1,4
1,2020,12,1,0,1
2,2020,1,45,49,94
2,2020,2,51,44,95
2,2020,3,42,37,79
2,2020,4,38,41,79
2,2020,5,44,39,83
2,2020,6,40,31,71
2,2020,7,45,48,93
2,2020,8,50,44,94
2,2020,9,56,48,104
2,2020,10,49,54,103
2,2020,11,38,36,74
2,2020,12,48,37,85
3,2020,1,12,12,24
3,2020,2,13,14,27
3,2020,3,13,9,22
3,2020,4,6,13,19
3,2020,5,12,9,21
3,2020,6,12,7,19
3,2020,7,22,19,41
3,2020,8,17,16,33
3,2020,9,14,15,29
3,2020,10,20,15,35
3,2020,11,16,7,23
3,2020,12,16,13,29
4,2020,1,1,10,11
4,2020,2,3,3,6
4,2020,3,4,2,6
4,2020,4,8,8,16
4,2020,5,4,6,10
4,2020,6,3,5,8
4,2020,7,11,9,20
4,2020,8,4,0,4
4,2020,9,8,5,13
4,2020,10,7,5,12
4,2020,11,7,6,13
4,2020,12,9,11,20
5,2020,1,1,1,2
5,2020,2,0,1,1
5,2020,3,3,1,4
5,2020,4,0,1,1
5,2020,5,1,3,4
5,2020,6,1,1,2
5,2020,7,3,2,5
5,2020,8,1,3,4
5,2020,9,6,1,7
5,2020,10,3,4,7
5,2020,11,0,3,3
5,2020,12,3,2,5
6,2020,1,0,2,2
6,2020,2,1,2,3
6,2020,3,1,1,2
6,2020,7,2,2,4
6,2020,8,1,0,1
6,2020,9,0,2,2
6,2020,10,2,0,2
6,2020,11,2,0,2
6,2020,12,3,0,3
8,2020,2,3,0,3
8,2020,4,0,1,1
8,2020,5,0,1,1
8,2020,6,1,0,1
8,2020,7,0,2,2
8,2020,8,0,1,1
8,2020,9,1,0,1
8,2020,10,0,2,2
9,2020,8,0,2,2
9,2020,10,1,0,1
9,2020,11,0,2,2
10,2020,1,1,0,1
10,2020,3,0,1,1
10,2020,4,1,0,1
10,2020,5,1,1,2
10,2020,6,1,1,2
10,2020,9,0,3,3
10,2020,10,0,1,1
10,2020,11,1,0,1
10,2020,12,2,2,4
11,2020,1,1,0,1
11,2020,2,1,2,3
11,2020,3,3,1,4
11,2020,4,1,0,1
11,2020,5,1,0,1
11,2020,7,1,2,3
11,2020,8,1,1,2
11,2020,9,1,2,3
11,2020,10,0,3,3
11,2020,12,2,0,2
12,2020,1,10,9,19
12,2020,2,12,17,29
12,2020,3,15,14,29
12,2020,4,14,11,25
12,2020,5,22,14,36
12,2020,6,14,16,30
12,2020,7,15,25,40
12,2020,8,13,23,36
12,2020,9,22,11,33
12,2020,10,15,15,30
12,2020,11,22,16,38
12,2020,12,20,19,39
13,2020,1,1,1,2
13,2020,2,0,2,2
13,2020,3,4,4,8
13,2020,4,3,1,4
13,2020,5,3,2,5
13,2020,6,1,3,4
13,2020,7,4,4,8
13,2020,8,0,1,1
13,2020,9,2,6,8
13,2020,10,2,2,4
13,2020,11,1,2,3
13,2020,12,2,1,3
14,2020,1,4,0,4
14,2020,2,0,2,2
14,2020,3,7,7,14
14,2020,4,1,2,3
14,2020,5,4,3,7
14,2020,6,2,4,6
14,2020,7,3,1,4
14,2020,8,5,5,10
14,2020,9,1,4,5
14,2020,10,2,3,5
14,2020,11,4,6,10
14,2020,12,3,3,6
15,2020,2,2,0,2
15,2020,3,2,0,2
15,2020,4,2,1,3
15,2020,5,1,3,4
15,2020,6,0,1,1
15,2020,7,1,2,3
15,2020,9,1,2,3
15,2020,10,1,1,2
15,2020,11,0,1,1
15,2020,12,3,0,3
16,2020,1,2,1,3
16,2020,2,6,0,6
16,2020,3,2,3,5
16,2020,4,1,1,2
16,2020,5,1,2,3
16,2020,6,4,4,8
16,2020,7,2,2,4
16,2020,8,5,3,8
16,2020,9,2,4,6
16,2020,10,1,3,4
16,2020,11,3,2,5
16,2020,12,2,4,6
17,2020,1,35,40,75
17,2020,2,34,32,66
17,2020,3,26,23,49
17,2020,4,21,36,57
17,2020,5,18,25,43
17,2020,6,27,21,48
17,2020,7,36,27,63
17,2020,8,35,25,60
17,2020,9,39,36,75
17,2020,10,32,19,51
17,2020,11,29,27,56
17,2020,12,31,30,61
18,2020,1,260,229,489
18,2020,2,203,188,391
18,2020,3,199,197,396
18,2020,4,148,171,319
18,2020,5,165,151,316
18,2020,6,195,145,340
18,2020,7,217,197,414
18,2020,8,225,254,479
18,2020,9,286,235,521
18,2020,10,256,247,503
18,2020,11,229,219,448
18,2020,12,218,246,464
19,2020,1,17,24,41
19,2020,2,25,22,47
19,2020,3,23,23,46
19,2020,4,21,22,43
19,2020,5,20,27,47
19,2020,6,18,21,39
19,2020,7,10,30,40
19,2020,8,27,29,56
19,2020,9,34,28,62
19,2020,10,25,26,51
19,2020,11,25,24,49
19,2020,12,27,24,51
20,2020,1,4,4,8
20,2020,2,8,1,9
20,2020,3,4,6,10
20,2020,4,4,3,7
20,2020,5,3,2,5
20,2020,6,3,3,6
20,2020,7,1,4,5
20,2020,8,1,6,7
20,2020,9,7,8,15
20,2020,10,3,1,4
20,2020,11,5,4,9
20,2020,12,3,1,4
21,2020,1,1,4,5
21,2020,2,2,3,5
21,2020,3,4,6,10
21,2020,4,8,3,11
21,2020,5,3,7,10
21,2020,6,5,5,10
21,2020,7,10,8,18
21,2020,8,11,9,20
21,2020,9,6,19,25
21,2020,10,13,15,28
21,2020,11,12,8,20
21,2020,12,8,9,17
22,2020,1,1,1,2
22,2020,2,0,1,1
22,2020,3,1,0,1
22,2020,4,1,0,1
22,2020,5,1,0,1
22,2020,6,2,1,3
22,2020,7,1,0,1
22,2020,8,1,0,1
22,2020,9,1,1,2
22,2020,10,2,2,4
22,2020,12,0,1,1
23,2020,1,5,1,6
23,2020,2,3,2,5
23,2020,3,2,0,2
23,2020,4,3,1,4
23,2020,6,2,2,4
23,2020,7,3,1,4
23,2020,8,5,6,11
23,2020,9,2,3,5
23,2020,10,2,6,8
23,2020,11,2,3,5
23,2020,12,1,6,7
24,2020,1,0,1,1
24,2020,3,1,1,2
24,2020,7,0,1,1
24,2020,10,0,2,2
25,2020,1,36,26,62
25,2020,2,33,27,60
25,2020,3,41,41,82
25,2020,4,36,27,63
25,2020,5,36,27,63
25,2020,6,35,30,65
25,2020,7,39,31,70
25,2020,8,40,48,88
25,2020,9,40,65,105
25,2020,10,47,54,101
25,2020,11,31,46,77
25,2020,12,32,32,64
26,2020,1,31,34,65
26,2020,2,35,23,58
26,2020,3,29,33,62
26,2020,4,29,18,47
26,2020,5,21,27,48
26,2020,6,21,26,47
26,2020,7,29,40,69
26,2020,8,19,36,55
