municipio,año,mes,hombres,mujeres,total
1,2012,1,1,1,2
1,2012,2,0,2,2
1,2012,3,1,0,1
1,2012,4,1,0,1
1,2012,5,1,3,4
1,2012,6,1,1,2
1,2012,7,1,0,1
1,2012,8,2,1,3
1,2012,9,3,1,4
1,2012,11,1,1,2
1,2012,12,1,2,3
2,2012,1,69,62,131
2,2012,2,68,67,135
2,2012,3,66,72,138
2,2012,4,81,59,140
2,2012,5,71,72,143
2,2012,6,71,73,144
2,2012,7,72,61,133
2,2012,8,86,82,168
2,2012,9,79,85,164
2,2012,10,84,87,171
2,2012,11,83,75,158
2,2012,12,67,77,144
3,2012,1,16,17,33
3,2012,2,17,16,33
3,2012,3,15,15,30
3,2012,4,15,10,25
3,2012,5,13,9,22
3,2012,6,17,14,31
3,2012,7,18,20,38
3,2012,8,32,20,52
3,2012,9,29,18,47
3,2012,10,19,14,33
3,2012,11,20,20,40
3,2012,12,19,16,35
4,2012,1,7,14,21
4,2012,2,11,3,14
4,2012,3,10,13,23
4,2012,4,7,11,18
4,2012,5,4,6,10
4,2012,6,7,6,13
4,2012,7,14,10,24
4,2012,8,11,7,18
4,2012,9,7,14,21
4,2012,10,7,10,17
4,2012,11,9,13,22
4,2012,12,11,7,18
5,2012,1,1,0,1
5,2012,2,3,2,5
5,2012,3,1,0,1
5,2012,7,0,2,2
5,2012,9,1,1,2
5,2012,11,0,1,1
5,2012,12,0,1,1
6,2012,1,2,5,7
6,2012,3,2,1,3
6,2012,4,3,0,3
6,2012,5,3,3,6
6,2012,6,0,2,2
6,2012,7,3,2,5
6,2012,8,2,3,5
6,2012,9,2,1,3
6,2012,10,1,2,3
6,2012,12,2,3,5
7,2012,1,2,0,2
7,2012,4,0,1,1
7,2012,6,2,0,2
7,2012,7,1,1,2
7,2012,8,1,2,3
7,2012,9,1,0,1
7,2012,12,2,2,4
8,2012,1,0,1,1
8,2012,2,1,1,2
8,2012,4,2,0,2
8,2012,5,1,1,2
8,2012,8,0,3,3
8,2012,9,0,1,1
8,2012,10,3,0,3
8,2012,11,0,1,1
8,2012,12,1,2,3
9,2012,1,1,0,1
9,2012,2,0,1,1
9,2012,5,2,0,2
9,2012,6,1,0,1
9,2012,7,1,1,2
9,2012,8,2,2,4
9,2012,10,1,0,1
9,2012,12,1,1,2
10,2012,1,1,1,2
10,2012,2,1,1,2
10,2012,4,1,1,2
10,2012,5,1,0,1
10,2012,6,1,1,2
10,2012,8,1,1,2
10,2012,10,1,0,1
10,2012,11,1,0,1
10,2012,12,2,0,2
11,2012,1,2,2,4
11,2012,2,0,4,4
11,2012,3,0,2,2
11,2012,4,2,2,4
11,2012,5,0,1,1
11,2012,6,2,0,2
11,2012,7,1,2,3
11,2012,8,3,0,3
11,2012,9,5,2,7
11,2012,11,2,0,2
11,2012,12,2,1,3
12,2012,1,20,11,31
12,2012,2,12,19,31
12,2012,3,10,12,22
12,2012,4,6,14,20
12,2012,5,13,11,24
12,2012,6,13,14,27
12,2012,7,23,12,35
12,2012,8,25,16,41
12,2012,9,34,27,61
12,2012,10,22,14,36
12,2012,11,17,12,29
12,2012,12,17,21,38
13,2012,1,1,4,5
13,2012,2,0,1,1
13,2012,3,1,1,2
13,2012,4,0,2,2
13,2012,6,1,2,3
13,2012,7,1,1,2
13,2012,9,1,1,2
13,2012,10,0,1,1
13,2012,11,0,1,1
13,2012,12,0,1,1
14,2012,1,1,1,2
14,2012,2,3,4,7
14,2012,3,3,2,5
14,2012,4,1,3,4
14,2012,5,1,2,3
14,2012,6,5,0,5
14,2012,7,0,2,2
14,2012,8,5,1,6
14,2012,9,7,2,9
14,2012,10,3,1,4
14,2012,11,1,1,2
14,2012,12,2,4,6
15,2012,1,1,1,2
15,2012,2,0,1,1
15,2012,5,1,4,5
15,2012,6,0,1,1
15,2012,7,1,2,3
15,2012,8,1,1,2
15,2012,10,3,0,3
15,2012,12,2,0,2
16,2012,1,6,8,14
16,2012,2,7,2,9
