municipio,año,mes,hombres,mujeres,total
1,2010,1,1,0,1
1,2010,2,2,0,2
1,2010,3,2,2,4
1,2010,4,0,3,3
1,2010,5,1,1,2
1,2010,6,0,1,1
1,2010,7,2,0,2
1,2010,8,1,0,1
1,2010,9,2,3,5
1,2010,10,2,3,5
1,2010,11,4,2,6
1,2010,12,0,1,1
2,2010,1,61,71,132
2,2010,2,55,45,100
2,2010,3,65,63,128
2,2010,4,53,44,97
2,2010,5,50,52,102
2,2010,6,53,47,100
2,2010,7,69,78,147
2,2010,8,77,75,152
2,2010,9,65,77,142
2,2010,10,75,67,142
2,2010,11,63,81,144
2,2010,12,74,76,150
3,2010,1,17,19,36
3,2010,2,9,16,25
3,2010,3,15,15,30
3,2010,4,16,11,27
3,2010,5,15,20,35
3,2010,6,22,11,33
3,2010,7,25,9,34
3,2010,8,31,19,50
3,2010,9,15,17,32
3,2010,10,20,16,36
3,2010,11,10,26,36
3,2010,12,17,16,33
4,2010,1,5,2,7
4,2010,2,12,12,24
4,2010,3,12,11,23
4,2010,4,9,4,13
4,2010,5,3,8,11
4,2010,6,12,13,25
4,2010,7,8,7,15
4,2010,8,11,8,19
4,2010,9,6,10,16
4,2010,10,9,9,18
4,2010,11,9,8,17
4,2010,12,10,9,19
5,2010,1,2,0,2
5,2010,2,1,0,1
5,2010,3,0,3,3
5,2010,5,1,0,1
5,2010,6,0,1,1
5,2010,7,0,1,1
5,2010,8,0,1,1
5,2010,10,0,1,1
5,2010,11,0,1,1
5,2010,12,1,1,2
6,2010,1,2,1,3
6,2010,2,2,1,3
6,2010,3,1,2,3
6,2010,4,1,2,3
6,2010,5,2,0,2
6,2010,6,1,0,1
6,2010,7,1,5,6
6,2010,8,2,1,3
6,2010,9,2,1,3
6,2010,10,2,3,5
6,2010,11,3,2,5
6,2010,12,1,3,4
7,2010,3,1,1,2
7,2010,5,0,1,1
7,2010,6,0,1,1
7,2010,8,2,0,2
7,2010,9,1,1,2
7,2010,11,0,2,2
7,2010,12,1,1,2
8,2010,1,1,1,2
8,2010,2,2,1,3
8,2010,3,3,0,3
8,2010,4,0,1,1
8,2010,6,1,1,2
8,2010,7,1,0,1
8,2010,8,1,0,1
8,2010,10,1,0,1
8,2010,11,2,0,2
8,2010,12,2,1,3
9,2010,3,2,0,2
9,2010,4,2,1,3
9,2010,7,1,1,2
9,2010,8,0,1,1
9,2010,9,0,1,1
9,2010,10,1,3,4
9,2010,11,1,0,1
10,2010,1,1,0,1
10,2010,3,0,1,1
10,2010,4,1,1,2
10,2010,7,0,1,1
10,2010,8,0,1,1
10,2010,10,0,1,1
10,2010,12,1,0,1
11,2010,1,2,1,3
11,2010,2,0,2,2
11,2010,3,1,1,2
11,2010,4,2,0,2
11,2010,5,0,1,1
11,2010,6,1,2,3
11,2010,7,1,0,1
11,2010,8,1,1,2
11,2010,9,2,1,3
11,2010,10,0,4,4
11,2010,11,1,0,1
11,2010,12,1,4,5
12,2010,1,14,22,36
12,2010,2,16,10,26
12,2010,3,12,18,30
12,2010,4,7,14,21
12,2010,5,16,14,30
12,2010,6,7,10,17
12,2010,7,17,13,30
12,2010,8,23,13,36
12,2010,9,20,21,41
12,2010,10,24,16,40
12,2010,11,22,15,37
12,2010,12,24,24,48
13,2010,2,2,3,5
13,2010,3,1,0,1
13,2010,4,1,3,4
13,2010,5,0,1,1
13,2010,6,4,1,5
13,2010,7,0,1,1
13,2010,8,3,2,5
13,2010,10,0,2,2
13,2010,12,2,1,3
14,2010,1,1,1,2
14,2010,2,1,1,2
14,2010,3,2,4,6
14,2010,4,2,0,2
14,2010,6,1,1,2
14,2010,8,1,0,1
14,2010,9,1,0,1
14,2010,10,1,5,6
14,2010,11,3,4,7
14,2010,12,1,2,3
15,2010,1,1,2,3
15,2010,3,1,2,3
15,2010,4,2,1,3
15,2010,5,0,1,1
15,2010,6,0,1,1
15,2010,7,0,1,1
15,2010,8,2,0,2
15,2010,9,2,2,4
15,2010,10,1,1,2
15,2010,11,2,1,3
15,2010,12,3,2,5
16,2010,1,3,1,4
16,2010,2,4,4,8
16,2010,3,5,5,10
16,2010,4,3,2,5
16,2010,5,1,1,2
16,2010,6,4,2,6
16,2010,7,3,2,5
16,2010,8,6,7,13
16,2010,9,2,8,10
16,2010,10,5,1,6
16,2010,11,3,6,9
16,2010,12,6,10,16
17,2010,1,72,66,138
17,2010,2,72,59,131
17,2010,3,63,60,123
17,2010,4,48,57,105
17,2010,5,53,56,109
17,2010,6,64,59,123
17,2010,7,86,68,154
17,2010,8,72,82,154
17,2010,9,82,76,158
17,2010,10,91,63,154
17,2010,11,71,64,135
17,2010,12,78,78,156
18,2010,1,295,292,587
18,2010,2,291,275,566
18,2010,3,283,306,589
18,2010,4,251,236,487
18,2010,5,272,232,504
18,2010,6,277,231,508
18,2010,7,327,289,616
18,2010,8,371,315,686
18,2010,9,432,397,829
18,2010,10,365,346,711
18,2010,11,328,334,662
18,2010,12,354,349,703
19,2010,1,17,21,38
19,2010,2,16,20,36
19,2010,3,24,25,49
19,2010,4,27,25,52
19,2010,5,30,28,58
19,2010,6,19,26,45
19,2010,7,23,23,46
19,2010,8,21,31,52
19,2010,9,30,26,56
19,2010,10,36,19,55
19,2010,11,27,20,47
19,2010,12,27,27,54
20,2010,1,7,3,10
20,2010,2,4,4,8
20,2010,3,6,6,12
20,2010,4,1,3,4
20,2010,5,4,2,6
20,2010,6,0,3,3
20,2010,7,2,5,7
20,2010,8,7,2,9
20,2010,9,4,9,13
20,2010,10,2,5,7
20,2010,11,4,5,9
20,2010,12,5,9,14
21,2010,1,2,0,2
21,2010,2,3,0,3
21,2010,3,2,1,3
21,2010,4,1,1,2
21,2010,5,2,0,2
21,2010,6,1,1,2
21,2010,7,2,1,3
21,2010,8,0,1,1
21,2010,9,1,3,4
21,2010,10,3,3,6
21,2010,11,0,1,1
22,2010,1,0,2,2
22,2010,2,1,0,1
22,2010,3,0,5,5
22,2010,5,0,1,1
22,2010,8,1,1,2
22,2010,9,1,0,1
22,2010,10,1,0,1
22,2010,11,0,1,1
22,2010,12,0,3,3
23,2010,1,2,4,6
23,2010,2,1,0,1
23,2010,3,2,1,3
23,2010,4,0,1,1
23,2010,5,1,1,2
23,2010,6,6,4,10
23,2010,7,3,0,3
23,2010,8,3,2,5
23,2010,9,4,4,8
23,2010,10,1,3,4
23,2010,11,2,3,5
23,2010,12,5,4,9
24,2010,1,0,1,1
24,2010,2,1,1,2
24,2010,3,2,1,3
24,2010,4,2,0,2
24,2010,5,1,0,1
24,2010,6,1,1,2
24,2010,9,0,1,1
24,2010,11,1,0,1
24,2010,12,1,2,3
25,2010,1,33,35,68
25,2010,2,24,25,49
25,2010,3,34,40,74
25,2010,4,21,26,47
25,2010,5,20,28,48
25,2010,6,39,27,66
25,2010,7,35,30,65
25,2010,8,39,36,75
25,2010,9,47,36,83
25,2010,10,52,39,91
25,2010,11,37,22,59
25,2010,12,33,36,69
26,2010,1,51,42,93
26,2010,2,30,34,64
26,2010,3,47,35,82
26,2010,4,30,31,61
26,2010,5,25,32,57
26,2010,6,39,41,80
26,2010,7,41,45,86
26,2010,8,65,41,106
26,2010,9,57,41,98
26,2010,10,50,48,98
26,2010,11,57,41,98
26,2010,12,62,50,112
27,2010,1,4,6,10
27,2010,2,5,8,13
27,2010,3,5,8,13
27,2010,4,3,10,13
27,2010,5,8,5,13
27,2010,6,5,4,9
27,2010,7,6,8,14
27,2010,8,9,7,16
27,2010,9,7,1,8
27,2010,10,7,4,11
