municipio,año,mes,hombres,mujeres,total
1,2013,1,0,1,1
1,2013,2,1,3,4
1,2013,3,0,2,2
1,2013,4,1,0,1
1,2013,5,1,1,2
1,2013,6,1,3,4
1,2013,8,2,1,3
1,2013,9,2,1,3
1,2013,10,0,1,1
1,2013,11,2,2,4
1,2013,12,1,0,1
2,2013,1,69,62,131
2,2013,2,65,66,131
2,2013,3,76,57,133
2,2013,4,57,54,111
2,2013,5,74,60,134
2,2013,6,79,81,160
2,2013,7,83,80,163
2,2013,8,76,60,136
2,2013,9,68,79,147
2,2013,10,63,73,136
2,2013,11,69,67,136
2,2013,12,60,73,133
3,2013,1,12,16,28
3,2013,2,19,14,33
3,2013,3,15,14,29
3,2013,4,14,12,26
3,2013,5,18,14,32
3,2013,6,16,14,30
3,2013,7,21,21,42
3,2013,8,21,25,46
3,2013,9,23,22,45
3,2013,10,15,25,40
3,2013,11,16,18,34
3,2013,12,21,20,41
4,2013,1,10,10,20
4,2013,2,6,8,14
4,2013,3,9,2,11
4,2013,4,10,7,17
4,2013,5,6,9,15
4,2013,6,8,9,17
4,2013,7,8,6,14
4,2013,8,7,16,23
4,2013,9,9,10,19
4,2013,10,9,8,17
4,2013,11,9,10,19
4,2013,12,7,3,10
5,2013,1,1,0,1
5,2013,2,1,1,2
5,2013,3,0,2,2
5,2013,4,1,1,2
5,2013,5,1,0,1
5,2013,8,0,1,1
5,2013,11,1,1,2
5,2013,12,0,1,1
6,2013,1,0,1,1
6,2013,2,0,2,2
6,2013,3,3,0,3
6,2013,4,1,1,2
6,2013,5,1,3,4
6,2013,6,3,1,4
6,2013,7,3,2,5
6,2013,8,2,1,3
6,2013,9,3,3,6
6,2013,10,1,3,4
6,2013,11,0,2,2
6,2013,12,2,0,2
7,2013,1,1,0,1
7,2013,5,1,0,1
7,2013,10,0,1,1
7,2013,12,1,0,1
8,2013,1,3,0,3
8,2013,6,1,1,2
8,2013,7,2,0,2
8,2013,9,1,0,1
8,2013,10,0,2,2
8,2013,11,0,2,2
8,2013,12,0,1,1
