path,status,rows,cols,missing_cols_count,avg_pct_missing_per_col,read_encoding
datasets_sonora_xlsx/Agricultura Sonora/Catalogo.xlsx,OK,233.0,5.0,0,0.0,
datasets_sonora_xlsx/Agricultura Sonora/Agricultura Sonora año 2017.xlsx,OK,1348.0,16.0,0,0.0,
datasets_sonora_xlsx/Agricultura Sonora/Agricultura Sonora año 2008.xlsx,OK,1046.0,16.0,0,0.0,
datasets_sonora_xlsx/Agricultura Sonora/Agricultura Sonora año 2004.xlsx,OK,1040.0,16.0,0,0.0,
datasets_sonora_xlsx/Agricultura Sonora/Agricultura Sonora año 2016.xlsx,OK,1088.0,16.0,0,0.0,
datasets_sonora_xlsx/Agricultura Sonora/Agricultura Sonora año 2014.xlsx,OK,1086.0,16.0,0,0.0,
datasets_sonora_xlsx/Agricultura Sonora/Agricultura Sonora año 2005.xlsx,OK,1081.0,16.0,0,0.0,
datasets_sonora_xlsx/Agricultura Sonora/Agricultura Sonora año 2007.xlsx,OK,1068.0,16.0,0,0.0,
datasets_sonora_xlsx/Agricultura Sonora/Agricultura Sonora año 2002.xlsx,OK,393.0,16.0,0,0.0,
datasets_sonora_xlsx/Agricultura Sonora/Agricultura Sonora año 1999.xlsx,OK,381.0,16.0,0,0.0,
datasets_sonora_xlsx/Agricultura Sonora/Agricultura Sonora año 2006.xlsx,OK,1069.0,16.0,0,0.0,
datasets_sonora_xlsx/Agricultura Sonora/Agricultura Sonora año 2009.xlsx,OK,1066.0,16.0,0,0.0,
datasets_sonora_xlsx/Agricultura Sonora/Agricultura Sonora año 2019.xlsx,OK,1726.0,16.0,0,0.0,
datasets_sonora_xlsx/Agricultura Sonora/Agricultura Sonora año 2020.xlsx,OK,1128.0,16.0,0,0.0,
datasets_sonora_xlsx/Indice de marginación por localidad/Diccionario.xlsx,OK,19.0,9.0,3,0.1462,
datasets_sonora_xlsx/Indice de marginación por localidad/Catalogo.xlsx,OK,32.0,2.0,0,0.0,
datasets_sonora_xlsx/Indice de marginación por localidad/Indice de marginación por localidad 2020.xlsx,OK,1850.0,19.0,0,0.0,
datasets_sonora_csv/Matrículas/Diccionario.csv,OK,9.0,9.0,4,0.3827,latin1
datasets_sonora_csv/Matrículas de Estudiantes/Diccionario.csv,OK,70.0,9.0,6,0.573,latin1
datasets_sonora_csv/Encuestas a personal/Diccionario.csv,OK,21.0,9.0,6,0.3968,latin1
datasets_sonora_csv/Capacitación a Docentes de Educación Básica/Diccionario.csv,OK,11.0,9.0,6,0.5859,latin1
datasets_sonora_csv/Consulta Externa/Diccionario.csv,OK,13.0,9.0,4,0.3761,latin1
datasets_sonora_csv/Conjunto de geometrías de división municipal del Estado de Sonora/Catálogo.csv,ERROR,,,0,,
datasets_sonora_csv/Recursos Hídricos/Diccionario.csv,OK,3.0,9.0,5,0.5185,latin1
datasets_sonora_csv/Atencion de Urgencias/Diccionario.csv,OK,15.0,9.0,4,0.3852,latin1
datasets_sonora_csv/Sistema Epidemiológico y Estadístico de Defunciones/Diccionario.csv,OK,80.0,9.0,6,0.5583,latin1
datasets_sonora_csv/Beneficiarios de becas o estímulos educativos/Diccionario.csv,OK,10.0,9.0,4,0.4222,latin1
datasets_sonora_csv/Índices de Reprobación/Diccionario.csv,OK,12.0,9.0,6,0.6481,latin1
datasets_sonora_csv/Denuncias Ambientales/Diccionario.csv,OK,9.0,9.0,4,0.4321,latin1
datasets_sonora_csv/Aprovechamiento Académico/Diccionario.csv,OK,8.0,9.0,6,0.6389,latin1
datasets_sonora_csv/Nacimientos/Nacimientos 2013.csv,OK,760.0,6.0,0,0.0,utf-8
datasets_sonora_csv/Nacimientos/Nacimientos 2020.csv,OK,715.0,6.0,0,0.0,utf-8
datasets_sonora_csv/Nacimientos/Nacimientos 2014.csv,OK,745.0,6.0,0,0.0,utf-8
datasets_sonora_csv/Nacimientos/Nacimientos 2022.csv,OK,672.0,6.0,0,0.0,utf-8
datasets_sonora_csv/Nacimientos/Nacimientos 2017.csv,OK,682.0,6.0,0,0.0,utf-8
datasets_sonora_csv/Nacimientos/Nacimientos 2019.csv,OK,683.0,6.0,0,0.0,utf-8
datasets_sonora_csv/Nacimientos/Nacimientos 2010.csv,OK,755.0,6.0,0,0.0,utf-8
datasets_sonora_csv/Nacimientos/Nacimientos 2018.csv,OK,684.0,6.0,0,0.0,utf-8
datasets_sonora_csv/Nacimientos/Nacimientos 2015.csv,OK,732.0,6.0,0,0.0,utf-8
datasets_sonora_csv/Nacimientos/Nacimientos 2024.csv,OK,627.0,6.0,0,0.0,latin1
datasets_sonora_csv/Nacimientos/Nacimientos 2016.csv,OK,716.0,6.0,0,0.0,utf-8
datasets_sonora_csv/Nacimientos/Nacimientos 2011.csv,OK,771.0,6.0,0,0.0,utf-8
datasets_sonora_csv/Nacimientos/Nacimientos 2012.csv,OK,747.0,6.0,0,0.0,utf-8
datasets_sonora_csv/Nacimientos/Nacimientos 2021.csv,OK,717.0,6.0,0,0.0,utf-8
datasets_sonora_csv/Nacimientos/Nacimientos 2023.csv,OK,648.0,6.0,0,0.0,latin1
datasets_sonora_csv/Nacimientos/Diccionario.csv,OK,6.0,9.0,4,0.4444,latin1
datasets_sonora_csv/Programa anual de adquisiciones/Diccionario.csv,OK,20.0,9.0,4,0.3611,latin1
datasets_sonora_csv/Apoyos Social Otorgados a Población Vulnerable en fechas Especiales/Diccionario.csv,OK,6.0,9.0,4,0.4444,latin1
datasets_sonora_csv/Trámites y Servicios/Diccionario.csv,OK,16.0,9.0,7,0.5694,latin1
datasets_sonora_csv/Egresos Hospitalarios/Diccionario.csv,OK,15.0,9.0,4,0.3852,latin1
datasets_sonora_csv/Reporte de Temporada de Caza en el Estado de Sonora/Diccionario.csv,OK,8.0,9.0,6,0.5278,latin1
datasets_sonora_csv/Egresados/Diccionario.csv,OK,6.0,9.0,4,0.3519,latin1
datasets_sonora_csv/Índices de Reprobación Modalidad Remota/Diccionario.csv,OK,12.0,9.0,4,0.3519,latin1
datasets_sonora_csv/Registro de Usuarios Beneficiados/Diccionario.csv,OK,11.0,9.0,6,0.5859,latin1
datasets_sonora_csv/Vigilancia Epidemiológica/Diccionario.csv,OK,59.0,9.0,4,0.435,latin1
datasets_sonora_csv/Población - Nuevo ingreso/Diccionario.csv,OK,6.0,9.0,4,0.3519,latin1
datasets_sonora_csv/Defunciones/Defunciones 2024.csv,OK,20189.0,8.0,1,0.0014,latin1
datasets_sonora_csv/Defunciones/Defunciones 2020.csv,OK,27719.0,8.0,4,0.0042,utf-8
datasets_sonora_csv/Defunciones/Defunciones 2019.csv,OK,18709.0,8.0,3,0.006,utf-8
datasets_sonora_csv/Defunciones/Defunciones 2016.csv,OK,16488.0,8.0,3,0.0083,utf-8
datasets_sonora_csv/Defunciones/Defunciones 2015.csv,OK,15541.0,8.0,3,0.0096,utf-8
datasets_sonora_csv/Defunciones/Defunciones 2022.csv,OK,22129.0,8.0,3,0.0033,utf-8
datasets_sonora_csv/Defunciones/Defunciones 2017.csv,OK,16871.0,8.0,3,0.0075,utf-8
datasets_sonora_csv/Defunciones/Defunciones 2021.csv,OK,25748.0,8.0,2,0.0035,utf-8
datasets_sonora_csv/Defunciones/Defunciones 2023.csv,OK,854393.0,8.0,8,0.9763,latin1
datasets_sonora_csv/Defunciones/Defunciones 2018.csv,OK,18016.0,8.0,3,0.0069,utf-8
datasets_sonora_csv/Defunciones/Diccionario.csv,OK,8.0,9.0,4,0.3889,latin1
datasets_sonora_csv/Pesca y Acuacultura Sonorense/Diccionario.csv,OK,15.0,9.0,6,0.5259,latin1
datasets_sonora_csv/Visitas de Inspeccion de la PROAES/Diccionario.csv,OK,4.0,9.0,4,0.4167,latin1
datasets_sonora_csv/Titulados/Diccionario.csv,OK,6.0,9.0,4,0.3519,latin1
datasets_sonora_csv/Programa Mano con Mano/Diccionario.csv,OK,30.0,9.0,4,0.4444,latin1
datasets_sonora_csv/Relación de Titulados - Licenciatura/Diccionario.csv,OK,9.0,9.0,9,0.4938,latin1
datasets_sonora_csv/Personal Sindicalizado y de Confianza/Diccionario.csv,OK,6.0,9.0,4,0.4444,latin1
datasets_sonora_csv/Población - Reingreso/Diccionario.csv,OK,6.0,9.0,4,0.3519,latin1
datasets_sonora_csv/Divorcios/Divorcios 2016.csv,OK,77.0,9.0,5,0.0765,utf-8
datasets_sonora_csv/Divorcios/Divorcios 2022.csv,OK,6064.0,9.0,5,0.0029,utf-8
datasets_sonora_csv/Divorcios/Divorcios 2019.csv,OK,147.0,9.0,5,0.0763,utf-8
datasets_sonora_csv/Divorcios/Divorcios 2024.csv,OK,6786.0,9.0,5,0.0023,utf-8
datasets_sonora_csv/Divorcios/Divorcios 2018.csv,OK,127.0,9.0,5,0.1059,utf-8
datasets_sonora_csv/Divorcios/Divorcios 2020.csv,OK,1670.0,9.0,5,0.0092,utf-8
datasets_sonora_csv/Divorcios/Divorcios 2021.csv,OK,5548.0,9.0,5,0.0036,utf-8
datasets_sonora_csv/Divorcios/Divorcios 2017.csv,OK,79.0,9.0,5,0.0703,utf-8
datasets_sonora_csv/Divorcios/Divorcios 2023.csv,OK,6269.0,9.0,5,0.0027,utf-8
datasets_sonora_csv/Divorcios/Divorcios 2015.csv,OK,68.0,9.0,5,0.0817,utf-8
datasets_sonora_csv/Divorcios/Diccionario.csv,OK,9.0,9.0,4,0.3951,latin1
datasets_sonora_csv/Información Sobre Nacimientos/Diccionario.csv,OK,106.0,9.0,6,0.5535,latin1
datasets_sonora_csv/Inspección y vigilancia/Diccionario.csv,OK,4.0,9.0,4,0.4167,latin1
datasets_sonora_csv/Relación de Titulados - Posgrado/Diccionario.csv,OK,9.0,9.0,9,0.4938,latin1
datasets_sonora_csv/Agricultura Sonora/Diccionario.csv,OK,20.0,9.0,7,0.5278,latin1
datasets_sonora_csv/Matrimonios/Matrimonios 2021.csv,OK,14300.0,8.0,4,0.0008,utf-8
datasets_sonora_csv/Matrimonios/Matrimonios 2022.csv,OK,13881.0,8.0,4,0.0016,utf-8
datasets_sonora_csv/Matrimonios/Matrimonios 2019.csv,OK,15390.0,8.0,3,0.0001,utf-8
datasets_sonora_csv/Matrimonios/Matrimonios 2024.csv,OK,13523.0,8.0,2,0.0001,latin1
datasets_sonora_csv/Matrimonios/Matrimonios 2020.csv,OK,10678.0,8.0,4,0.0006,utf-8
datasets_sonora_csv/Matrimonios/Matrimonios 2023.csv,OK,14685.0,8.0,2,0.0001,latin1
datasets_sonora_csv/Matrimonios/Matrimonios 2016.csv,OK,14642.0,8.0,4,0.0012,utf-8
datasets_sonora_csv/Matrimonios/Matrimonios 2018.csv,OK,14760.0,8.0,2,0.0002,utf-8
datasets_sonora_csv/Matrimonios/Diccionario.csv,OK,8.0,9.0,4,0.3889,latin1
datasets_sonora_csv/Matrimonios/Matrimonios 2015.csv,OK,14600.0,8.0,4,0.0027,utf-8
datasets_sonora_csv/Matrimonios/Matrimonios 2017.csv,OK,15054.0,8.0,4,0.0003,utf-8
