path,status,rows,cols,missing_cols_count,avg_pct_missing_per_col,read_encoding
datasets_sonora_xlsx/Discapacidad y grupo étnico/Discapacidad y Grupo Étnico Mayo - Agosto 2023.xlsx,OK,27.0,8.0,0,0.0,
datasets_sonora_xlsx/Discapacidad y grupo étnico/Discapacidad y Grupo Étnico Septiembre - Diciembre 2023.xlsx,OK,27.0,8.0,0,0.0,
datasets_sonora_xlsx/Discapacidad y grupo étnico/Discapacidad y Grupo Étnico Enero - Abril 2023.xlsx,OK,27.0,8.0,0,0.0,
datasets_sonora_xlsx/Fortalezas y Debilidades del Entorno Digital de la Administración Pública Estatal/Diccionario.xlsx,OK,15.0,9.0,4,0.3037,
datasets_sonora_xlsx/Fortalezas y Debilidades del Entorno Digital de la Administración Pública Estatal/Fortalezas y Debilidades.xlsx,OK,14.0,26.0,14,0.1896,
datasets_sonora_xlsx/Encuestas a personal/Encuesta - Agencia Fiscal Centro de Gobierno.xlsx,OK,18.0,20.0,3,0.0667,
datasets_sonora_xlsx/Encuestas a personal/Encuesta - Registro Civil.xlsx,OK,44.0,21.0,11,0.119,
datasets_sonora_xlsx/Encuestas a personal/Encuesta - Junta Local.xlsx,OK,49.0,21.0,7,0.0768,
datasets_sonora_xlsx/Encuestas a personal/Encuesta - Agencia Fiscal CUM.xlsx,OK,29.0,21.0,17,0.1297,
datasets_sonora_xlsx/Promedio Académico/Promedio Académico Mayo - Agosto 2023.xlsx,OK,27.0,7.0,0,0.0,
datasets_sonora_xlsx/Promedio Académico/Promedio Académico Septiembre - Diciembre 2022.xlsx,OK,27.0,7.0,0,0.0,
datasets_sonora_xlsx/Promedio Académico/Promedio Académico Mayo - Agosto 2022.xlsx,OK,29.0,7.0,0,0.0,
datasets_sonora_xlsx/Promedio Académico/Promedio Académico Enero - Abril 2022.xlsx,OK,29.0,7.0,0,0.0,
datasets_sonora_xlsx/Promedio Académico/Promedio Académico Septiembre - Diciembre 2023.xlsx,OK,27.0,7.0,0,0.0,
datasets_sonora_xlsx/Promedio Académico/Diccionario.xlsx,OK,7.0,9.0,4,0.4286,
datasets_sonora_xlsx/Promedio Académico/Promedio Académico Mayo - Agosto 2024.xlsx,OK,26.0,7.0,0,0.0,
datasets_sonora_xlsx/Promedio Académico/Catalogo.xlsx,OK,10.0,2.0,0,0.0,
